"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","16-Jul-2018","        358.95","        356.00","        359.75","        344.80","        348.05","        347.40","        350.92","    3261119","          1144384433.35","      75843","    1474823","         45.22"
"BHARTIARTL","EQ","17-Jul-2018","        347.40","        347.00","        350.70","        340.00","        342.55","        342.55","        342.93","    4884957","          1675185846.80","      59889","    2473755","         50.64"
"BHARTIARTL","EQ","18-Jul-2018","        342.55","        344.10","        345.10","        331.00","        337.10","        336.80","        336.43","    4796681","          1613769791.30","      70728","    2110006","         43.99"
"BHARTIARTL","EQ","19-Jul-2018","        336.80","        339.00","        347.50","        337.60","        343.00","        345.00","        343.90","    4531466","          1558366966.65","      50143","    1667228","         36.79"
"BHARTIARTL","EQ","20-Jul-2018","        345.00","        343.00","        347.70","        340.35","        346.55","        345.40","        344.58","    3796397","          1308153217.95","      49343","    2181811","         57.47"
"BHARTIARTL","EQ","23-Jul-2018","        345.40","        345.50","        360.00","        345.00","        357.60","        358.95","        355.47","    3735930","          1328004372.45","      41040","    1349300","         36.12"
"BHARTIARTL","EQ","24-Jul-2018","        358.95","        361.40","        366.45","        355.25","        356.40","        356.80","        361.67","    3920957","          1418107471.75","      35566","    2055809","         52.43"
"BHARTIARTL","EQ","25-Jul-2018","        356.80","        355.10","        355.80","        343.50","        352.25","        352.30","        347.96","    4664164","          1622948047.55","      51539","    1199514","         25.72"
"BHARTIARTL","EQ","26-Jul-2018","        352.30","        353.05","        360.00","        352.35","        360.00","        357.65","        356.44","    3439808","          1226083661.55","      38223","     922131","         26.81"
"BHARTIARTL","EQ","27-Jul-2018","        357.65","        359.90","        373.90","        351.65","        362.25","        364.70","        363.22","    8126603","          2951743514.50","      92188","    1871434","         23.03"
"BHARTIARTL","EQ","30-Jul-2018","        364.70","        359.00","        388.90","        355.30","        385.40","        383.25","        374.32","    6737958","          2522138159.25","      65428","    2610447","         38.74"
"BHARTIARTL","EQ","31-Jul-2018","        383.25","        382.00","        392.55","        378.70","        390.00","        390.60","        388.29","    7296848","          2833269271.70","      71585","    3091470","         42.37"
"BHARTIARTL","EQ","01-Aug-2018","        390.60","        390.00","        399.00","        382.65","        384.10","        384.50","        391.75","    8512340","          3334676438.55","      81743","    4606901","         54.12"
"BHARTIARTL","EQ","02-Aug-2018","        384.50","        383.40","        384.75","        369.20","        372.45","        373.00","        374.22","    5575854","          2086602690.40","      73687","    1751482","         31.41"
"BHARTIARTL","EQ","03-Aug-2018","        373.00","        374.80","        376.90","        370.40","        374.85","        374.50","        373.61","    3287520","          1228260156.75","      38868","     854142","         25.98"
"BHARTIARTL","EQ","06-Aug-2018","        374.50","        374.85","        387.70","        374.70","        384.55","        385.75","        382.22","    3640662","          1391532776.95","      39736","     879191","         24.15"
"BHARTIARTL","EQ","07-Aug-2018","        385.75","        385.75","        386.80","        379.25","        381.20","        381.90","        382.15","    2190884","           837246512.00","      24326","     426276","         19.46"
"BHARTIARTL","EQ","08-Aug-2018","        381.90","        380.10","        387.90","        373.40","        385.20","        385.30","        380.21","    2993950","          1138321879.00","      51106","     707086","         23.62"
"BHARTIARTL","EQ","09-Aug-2018","        385.30","        386.30","        386.30","        364.50","        367.00","        367.05","        369.03","   11040336","          4074228264.60","      58961","    3428154","         31.05"
