"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHEL","EQ","16-Jul-2018","         67.15","         67.15","         67.25","         64.60","         65.10","         65.00","         65.76","    5498218","           361562305.70","      21922","    1869571","         34.00"
"BHEL","EQ","17-Jul-2018","         65.00","         65.50","         68.30","         64.45","         68.05","         68.05","         67.10","    7675970","           515088316.60","      29716","    1869191","         24.35"
"BHEL","EQ","18-Jul-2018","         68.05","         68.10","         68.55","         65.25","         66.45","         66.55","         66.45","    5743139","           381649790.95","      18600","    1173205","         20.43"
"BHEL","EQ","19-Jul-2018","         66.55","         66.95","         67.75","         65.45","         66.20","         66.15","         66.48","    4872954","           323947220.75","      16885","    1083044","         22.23"
"BHEL","EQ","20-Jul-2018","         66.15","         66.30","         68.20","         65.90","         67.75","         67.50","         67.05","    5073743","           340185448.95","      19540","     995321","         19.62"
"BHEL","EQ","23-Jul-2018","         67.50","         67.75","         69.90","         67.05","         69.50","         69.50","         68.67","    5048661","           346691781.80","      21219","    1109242","         21.97"
"BHEL","EQ","24-Jul-2018","         69.50","         69.55","         73.90","         69.30","         73.70","         73.45","         72.41","   14241131","          1031136071.40","      55279","    4203572","         29.52"
"BHEL","EQ","25-Jul-2018","         73.45","         73.95","         78.35","         70.80","         71.40","         71.65","         74.38","   47859275","          3559998711.50","     143412","    7340443","         15.34"
"BHEL","EQ","26-Jul-2018","         71.65","         71.95","         72.40","         70.30","         70.70","         70.70","         71.22","   13088082","           932175400.10","      36546","    2601103","         19.87"
"BHEL","EQ","27-Jul-2018","         70.70","         71.00","         72.10","         70.50","         71.20","         71.15","         71.30","    5959511","           424931299.80","      20825","    1130481","         18.97"
"BHEL","EQ","30-Jul-2018","         71.15","         71.40","         73.60","         71.25","         73.30","         73.30","         72.89","    9169279","           668362914.65","      30274","    2972702","         32.42"
"BHEL","EQ","31-Jul-2018","         73.30","         73.50","         74.50","         72.55","         73.90","         74.05","         73.69","    9110753","           671408533.15","      36315","    2492662","         27.36"
"BHEL","EQ","01-Aug-2018","         74.05","         74.30","         74.65","         72.80","         73.50","         73.55","         73.63","    7218091","           531481475.95","      24359","    2881059","         39.91"
"BHEL","EQ","02-Aug-2018","         73.55","         73.45","         74.70","         72.75","         73.55","         73.70","         73.69","    5908968","           435417603.50","      20356","    1112583","         18.83"
"BHEL","EQ","03-Aug-2018","         73.70","         74.00","         74.60","         73.65","         74.05","         74.00","         74.08","    4949579","           366659824.90","      15212","    1131622","         22.86"
