"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CADILAHC","EQ","16-Jul-2018","        366.10","        365.35","        365.35","        348.00","        350.00","        349.75","        356.55","    1177909","           419988941.50","      24844","     632281","         53.68"
"CADILAHC","EQ","17-Jul-2018","        349.75","        351.00","        365.00","        346.90","        361.80","        360.15","        358.34","    1486654","           532725200.85","      29138","     808076","         54.36"
"CADILAHC","EQ","18-Jul-2018","        360.15","        361.90","        365.95","        348.60","        353.50","        354.25","        354.81","    2124458","           753785902.40","      35796","     986008","         46.41"
"CADILAHC","EQ","19-Jul-2018","        354.25","        357.70","        357.70","        342.00","        342.60","        343.55","        346.61","    1718171","           595540472.20","      29989","     732985","         42.66"
"CADILAHC","EQ","20-Jul-2018","        343.55","        342.45","        350.80","        332.75","        348.70","        347.95","        339.64","    3529076","          1198615779.95","      49404","    1266298","         35.88"
"CADILAHC","EQ","23-Jul-2018","        347.95","        350.00","        360.90","        348.80","        360.90","        359.45","        355.49","    1337506","           475465124.65","      22346","     390157","         29.17"
"CADILAHC","EQ","24-Jul-2018","        359.45","        359.80","        374.65","        359.60","        371.90","        372.45","        369.73","    1350661","           499385277.75","      18985","     489384","         36.23"
"CADILAHC","EQ","25-Jul-2018","        372.45","        375.80","        377.65","        363.00","        363.65","        364.95","        369.52","     826018","           305226771.80","      12451","     206271","         24.97"
"CADILAHC","EQ","26-Jul-2018","        364.95","        364.00","        373.95","        362.05","        372.00","        371.10","        370.05","     918675","           339956851.35","      14415","     225293","         24.52"
"CADILAHC","EQ","27-Jul-2018","        371.10","        373.90","        377.00","        371.55","        373.60","        373.55","        374.31","     460475","           172360514.45","       7438","     146620","         31.84"
"CADILAHC","EQ","30-Jul-2018","        373.55","        375.00","        383.80","        370.50","        383.10","        382.60","        379.44","    1361702","           516688264.55","      28176","     472043","         34.67"
"CADILAHC","EQ","31-Jul-2018","        382.60","        381.80","        385.00","        377.65","        381.00","        381.45","        382.01","    1479853","           565322064.90","      32231","     828885","         56.01"
"CADILAHC","EQ","01-Aug-2018","        381.45","        383.40","        385.00","        374.00","        379.00","        377.50","        378.18","    1438581","           544045333.45","      31963","     654628","         45.51"
"CADILAHC","EQ","02-Aug-2018","        377.50","        379.00","        381.55","        374.55","        376.10","        376.10","        377.91","    1169194","           441853817.95","      19488","     343687","         29.40"
"CADILAHC","EQ","03-Aug-2018","        376.10","        378.10","        382.60","        376.60","        377.00","        377.30","        379.74","    1430676","           543287475.00","      13708","     747846","         52.27"
