"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DLF","EQ","16-Jul-2018","        187.70","        188.00","        188.60","        177.00","        178.35","        178.05","        181.36","    4266013","           773701682.25","      28055","     601748","         14.11"
"DLF","EQ","17-Jul-2018","        178.05","        177.05","        182.00","        176.75","        180.00","        179.95","        180.04","    5742276","          1033833369.30","      38110","    1964833","         34.22"
"DLF","EQ","18-Jul-2018","        179.95","        181.70","        181.70","        170.00","        171.10","        170.70","        173.82","    5559072","           966271043.55","      38514","    1127994","         20.29"
"DLF","EQ","19-Jul-2018","        170.70","        171.90","        175.50","        168.00","        169.50","        169.85","        171.73","    7272656","          1248923077.45","      47821","    1117544","         15.37"
"DLF","EQ","20-Jul-2018","        169.85","        170.80","        172.35","        168.00","        169.65","        170.40","        170.24","    3249890","           553248310.90","      23225","     278633","          8.57"
"DLF","EQ","23-Jul-2018","        170.40","        170.50","        179.00","        170.50","        177.25","        177.65","        174.80","    9216233","          1611029266.70","      73743","    3523566","         38.23"
"DLF","EQ","24-Jul-2018","        177.65","        179.45","        190.95","        177.65","        188.40","        189.10","        185.52","    9610781","          1783001585.40","      60269","    1521046","         15.83"
"DLF","EQ","25-Jul-2018","        189.10","        189.75","        189.75","        182.25","        182.85","        183.50","        185.41","    4839118","           897238928.20","      30246","     437873","          9.05"
"DLF","EQ","26-Jul-2018","        183.50","        183.85","        192.90","        181.60","        191.95","        190.20","        187.03","    6391773","          1195448870.75","      42256","    1108839","         17.35"
"DLF","EQ","27-Jul-2018","        190.20","        191.05","        194.50","        188.25","        190.35","        190.50","        191.24","    4558851","           871850451.95","      32630","     303518","          6.66"
"DLF","EQ","30-Jul-2018","        190.50","        190.10","        191.20","        186.05","        188.45","        188.90","        188.82","    3271250","           617672791.70","      28332","     235100","          7.19"
"DLF","EQ","31-Jul-2018","        188.90","        189.50","        198.85","        189.10","        195.75","        196.30","        196.32","   10925285","          2144867473.85","      78042","    2175130","         19.91"
"DLF","EQ","01-Aug-2018","        196.30","        195.90","        197.25","        189.35","        192.80","        193.35","        192.88","    5890923","          1136222521.20","      48748","    1159693","         19.69"
"DLF","EQ","02-Aug-2018","        193.35","        192.00","        192.00","        186.40","        187.55","        187.75","        188.53","    4912319","           926113991.70","      39304","     716928","         14.59"
