"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCLIFE","EQ","16-Jul-2018","        471.55","        471.80","        472.50","        457.50","        457.95","        459.85","        464.27","     801423","           372075298.55","      26246","     563950","         70.37"
"HDFCLIFE","EQ","17-Jul-2018","        459.85","        460.00","        470.65","        455.55","        463.00","        464.50","        460.37","    1332222","           613313511.50","      28997","     909968","         68.30"
"HDFCLIFE","EQ","18-Jul-2018","        464.50","        468.00","        478.00","        466.00","        472.20","        473.90","        472.20","    1274708","           601911372.30","      33001","     752578","         59.04"
"HDFCLIFE","EQ","19-Jul-2018","        473.90","        471.95","        474.45","        468.20","        471.60","        471.00","        471.16","     581747","           274094306.00","      20527","     397988","         68.41"
"HDFCLIFE","EQ","20-Jul-2018","        471.00","        471.80","        493.70","        468.30","        491.15","        489.60","        482.29","    3641559","          1756276222.20","      68367","    2022431","         55.54"
"HDFCLIFE","EQ","23-Jul-2018","        489.60","        497.00","        498.00","        478.55","        480.05","        482.95","        484.49","    1379264","           668236578.20","      58018","     901856","         65.39"
"HDFCLIFE","EQ","24-Jul-2018","        482.95","        484.05","        488.00","        470.05","        480.80","        480.15","        479.46","    1128826","           541223002.85","      24211","     640110","         56.71"
"HDFCLIFE","EQ","25-Jul-2018","        480.15","        480.00","        495.75","        478.45","        495.00","        494.35","        491.65","    1598485","           785899909.35","      31431","     870668","         54.47"
"HDFCLIFE","EQ","26-Jul-2018","        494.35","        494.00","        495.90","        486.00","        489.00","        489.40","        490.78","     559055","           274372016.85","      16073","     246985","         44.18"
"HDFCLIFE","EQ","27-Jul-2018","        489.40","        490.00","        510.80","        490.00","        507.90","        508.40","        502.65","    2140712","          1076039311.20","      50031","    1056506","         49.35"
"HDFCLIFE","EQ","30-Jul-2018","        508.40","        507.00","        507.40","        492.65","        494.00","        495.20","        498.02","    1042844","           519361397.65","      21432","     608389","         58.34"
"HDFCLIFE","EQ","31-Jul-2018","        495.20","        493.00","        504.90","        488.00","        503.00","        502.70","        497.56","     896975","           446295993.45","      22193","     464347","         51.77"
"HDFCLIFE","EQ","01-Aug-2018","        502.70","        500.30","        502.60","        494.00","        495.00","        495.75","        497.54","     444268","           221039036.60","      13300","     246601","         55.51"
"HDFCLIFE","EQ","02-Aug-2018","        495.75","        495.65","        504.25","        490.55","        491.65","        493.10","        497.01","     551346","           274025613.75","      17674","     220457","         39.99"
"HDFCLIFE","EQ","03-Aug-2018","        493.10","        495.40","        504.75","        483.20","        488.00","        486.40","        493.78","    1248163","           616320572.65","      22374","     683237","         54.74"
"HDFCLIFE","EQ","06-Aug-2018","        486.40","        489.50","        491.00","        481.50","        484.10","        485.40","        486.00","    1237540","           601443771.95","      23148","     620971","         50.18"
"HDFCLIFE","EQ","07-Aug-2018","        485.40","        485.85","        486.95","        476.00","        477.25","        478.10","        481.16","     666377","           320631973.10","      21414","     381707","         57.28"
"HDFCLIFE","EQ","08-Aug-2018","        478.10","        478.10","        479.75","        465.55","        467.90","        468.00","        471.81","    1535027","           724242942.35","      36450","    1033925","         67.36"
"HDFCLIFE","EQ","09-Aug-2018","        468.00","        471.00","        474.70","        463.25","        465.45","        465.95","        466.35","    1444553","           673673197.30","      27558","    1021475","         70.71"
"HDFCLIFE","EQ","10-Aug-2018","        465.95","        466.90","        468.00","        459.05","        465.00","        464.90","        462.94","    2171685","          1005357375.60","      26133","    1759745","         81.03"
"HDFCLIFE","EQ","13-Aug-2018","        464.90","        465.00","        468.70","        460.65","        463.70","        464.10","        464.27","    1107202","           514035173.50","      28589","     859587","         77.64"
"HDFCLIFE","EQ","14-Aug-2018","        464.10","        464.10","        471.00","        464.00","        467.75","        468.10","        468.65","     959947","           449878728.20","      23399","     730135","         76.06"
"HDFCLIFE","EQ","16-Aug-2018","        468.10","        468.00","        468.80","        459.95","        460.00","        461.20","        463.82","     512635","           237768851.05","      14721","     359405","         70.11"
"HDFCLIFE","EQ","17-Aug-2018","        461.20","        463.40","        465.70","        459.50","        460.25","        461.30","        461.83","    1013707","           468163237.35","      35566","     722182","         71.24"
"HDFCLIFE","EQ","20-Aug-2018","        461.30","        463.85","        468.00","        461.15","        461.80","        462.45","        464.13","     726254","           337077630.70","      25688","     464817","         64.00"
