"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDZINC","EQ","16-Jul-2018","        274.95","        274.85","        274.85","        266.50","        268.00","        268.55","        270.29","    1396585","           377476163.90","      15549","     774315","         55.44"
"HINDZINC","EQ","17-Jul-2018","        268.55","        267.00","        270.95","        261.00","        268.85","        269.50","        265.58","    2669806","           709042639.80","      15125","    1715391","         64.25"
"HINDZINC","EQ","18-Jul-2018","        269.50","        270.85","        272.45","        266.75","        270.00","        269.35","        270.36","    1730209","           467776808.25","       9643","    1080429","         62.44"
"HINDZINC","EQ","19-Jul-2018","        269.35","        273.40","        275.10","        265.40","        268.20","        268.90","        270.75","    2472327","           669374524.80","      13331","    1195972","         48.37"
"HINDZINC","EQ","20-Jul-2018","        268.90","        268.00","        268.00","        262.60","        265.00","        265.25","        265.12","    1732161","           459233413.20","      12272","    1089364","         62.89"
"HINDZINC","EQ","23-Jul-2018","        265.25","        265.00","        270.00","        261.20","        270.00","        267.70","        266.27","    2055644","           547364550.50","      16205","     821979","         39.99"
"HINDZINC","EQ","24-Jul-2018","        267.70","        266.65","        274.55","        260.65","        272.80","        272.60","        269.17","    3091112","           832040643.45","      24149","     898579","         29.07"
"HINDZINC","EQ","25-Jul-2018","        272.60","        274.30","        282.95","        273.55","        280.50","        281.85","        279.34","    3137473","           876435359.65","      19125","    1406818","         44.84"
"HINDZINC","EQ","26-Jul-2018","        281.85","        281.45","        282.65","        269.00","        269.45","        272.10","        278.11","    3797761","          1056182568.85","      20289","    2004374","         52.78"
"HINDZINC","EQ","27-Jul-2018","        272.10","        270.00","        276.30","        269.90","        273.70","        273.85","        273.99","     606887","           166281643.80","       6431","     190990","         31.47"
"HINDZINC","EQ","30-Jul-2018","        273.85","        274.00","        275.95","        272.00","        275.00","        274.95","        274.14","     493831","           135381264.90","       6440","     187004","         37.87"
"HINDZINC","EQ","31-Jul-2018","        274.95","        275.75","        280.85","        272.25","        280.00","        280.05","        277.54","     760972","           211203871.00","       7220","     274689","         36.10"
"HINDZINC","EQ","01-Aug-2018","        280.05","        282.00","        284.80","        276.00","        276.95","        277.70","        280.40","    1212505","           339983950.80","      13538","     493895","         40.73"
"HINDZINC","EQ","02-Aug-2018","        277.70","        278.50","        283.80","        275.05","        280.65","        280.80","        279.97","    1245965","           348830188.50","      12695","     445709","         35.77"
"HINDZINC","EQ","03-Aug-2018","        280.80","        281.95","        283.75","        280.20","        282.15","        282.30","        282.09","     571292","           161155882.95","       5583","     221072","         38.70"
"HINDZINC","EQ","06-Aug-2018","        282.30","        284.85","        289.65","        280.85","        285.00","        285.30","        285.59","    1036316","           295961823.25","      10744","     260191","         25.11"
"HINDZINC","EQ","07-Aug-2018","        285.30","        287.20","        290.95","        283.55","        286.00","        285.75","        287.10","    1255502","           360452619.20","      15030","     199555","         15.89"
"HINDZINC","EQ","08-Aug-2018","        285.75","        285.75","        288.50","        284.65","        286.00","        286.05","        286.49","     486339","           139328924.00","       4789","     147596","         30.35"
"HINDZINC","EQ","09-Aug-2018","        286.05","        286.90","        289.00","        284.50","        288.00","        286.70","        286.65","     691773","           198296971.15","       7555","     182655","         26.40"
"HINDZINC","EQ","10-Aug-2018","        286.70","        286.70","        288.30","        283.80","        286.95","        286.95","        285.86","     662744","           189453028.30","       5772","     211587","         31.93"
"HINDZINC","EQ","13-Aug-2018","        286.95","        283.95","        288.85","        280.05","        286.00","        286.65","        284.39","    1237293","           351875421.45","      15349","     232572","         18.80"
