"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MOTHERSUMI","EQ","16-Jul-2018","        288.20","        290.35","        290.45","        281.00","        284.00","        283.75","        284.58","    1691507","           481361306.15","      44124","     978142","         57.83"
"MOTHERSUMI","EQ","17-Jul-2018","        283.75","        286.00","        286.00","        280.45","        285.10","        285.05","        284.28","    2258752","           642120429.70","      26377","    1447435","         64.08"
"MOTHERSUMI","EQ","18-Jul-2018","        285.05","        285.50","        287.75","        279.95","        283.80","        283.85","        283.15","    1918939","           543350042.70","      38076","     895033","         46.64"
"MOTHERSUMI","EQ","19-Jul-2018","        283.85","        284.80","        285.50","        281.05","        282.10","        282.10","        282.69","    1741856","           492399988.00","      34034","    1125239","         64.60"
"MOTHERSUMI","EQ","20-Jul-2018","        282.10","        283.10","        299.90","        281.10","        298.45","        298.45","        290.77","    3235430","           940770374.20","      35377","    1389674","         42.95"
"MOTHERSUMI","EQ","23-Jul-2018","        298.45","        299.00","        300.50","        287.60","        291.80","        293.30","        292.02","    2977331","           869450712.20","      31540","    1375269","         46.19"
"MOTHERSUMI","EQ","24-Jul-2018","        293.30","        292.40","        300.00","        289.50","        299.50","        297.95","        295.11","    2594551","           765677402.70","      37890","     990903","         38.19"
"MOTHERSUMI","EQ","25-Jul-2018","        297.95","        298.90","        307.70","        295.20","        300.00","        299.20","        301.55","    4751576","          1432828802.90","      64121","    2317400","         48.77"
"MOTHERSUMI","EQ","26-Jul-2018","        299.20","        301.10","        312.25","        301.10","        309.95","        309.05","        307.99","    4881240","          1503364883.05","      87601","    2224981","         45.58"
"MOTHERSUMI","EQ","27-Jul-2018","        309.05","        312.70","        320.80","        310.15","        320.25","        318.70","        315.31","    3404483","          1073452633.40","      44031","    1518802","         44.61"
"MOTHERSUMI","EQ","30-Jul-2018","        318.70","        321.45","        325.50","        312.10","        325.00","        324.90","        321.66","    3459494","          1112766518.25","      46770","    1681161","         48.60"
"MOTHERSUMI","EQ","31-Jul-2018","        324.90","        323.00","        327.00","        316.30","        324.05","        322.10","        321.24","    2890733","           928610192.55","      35022","    1173420","         40.59"
"MOTHERSUMI","EQ","01-Aug-2018","        322.10","        322.00","        327.00","        312.20","        314.65","        314.60","        318.87","    2489859","           793930328.65","      52838","    1167935","         46.91"
"MOTHERSUMI","EQ","02-Aug-2018","        314.60","        314.60","        315.00","        301.50","        304.10","        304.05","        304.69","    4435855","          1351545151.35","      52254","    1808209","         40.76"
"MOTHERSUMI","EQ","03-Aug-2018","        304.05","        304.25","        310.65","        304.25","        308.20","        307.80","        307.93","    1555814","           479079876.70","      29442","     436725","         28.07"
"MOTHERSUMI","EQ","06-Aug-2018","        307.80","        306.35","        315.50","        305.15","        314.25","        314.20","        310.74","    2619378","           813946061.55","      27917","    1017610","         38.85"
"MOTHERSUMI","EQ","07-Aug-2018","        314.20","        316.90","        316.90","        302.60","        303.80","        304.60","        308.47","   14568611","          4494016941.70","     139285","    4231652","         29.05"
"MOTHERSUMI","EQ","08-Aug-2018","        304.60","        303.95","        309.90","        297.50","        304.75","        305.40","        304.81","    5633667","          1717197489.05","      71665","    1886140","         33.48"
"MOTHERSUMI","EQ","09-Aug-2018","        305.40","        306.10","        308.95","        302.30","        304.20","        304.10","        304.67","    2122833","           646770888.00","      36470","    1003908","         47.29"
"MOTHERSUMI","EQ","10-Aug-2018","        304.10","        304.10","        304.30","        296.50","        300.30","        301.35","        300.12","    2771804","           831878018.80","      34983","    1224423","         44.17"
"MOTHERSUMI","EQ","13-Aug-2018","        301.35","        298.20","        300.80","        290.65","        291.90","        291.55","        294.37","    3729140","          1097746990.35","      59481","    1898190","         50.90"
"MOTHERSUMI","EQ","14-Aug-2018","        291.55","        291.55","        299.00","        291.30","        298.80","        297.95","        296.28","    4328465","          1282428082.80","      37515","     986255","         22.79"
"MOTHERSUMI","EQ","16-Aug-2018","        297.95","        297.95","        305.60","        294.80","        300.90","        302.10","        301.92","    2219975","           670257975.10","      37967","     967253","         43.57"
"MOTHERSUMI","EQ","17-Aug-2018","        302.10","        304.55","        313.40","        302.70","        311.00","        311.90","        309.16","    3191803","           986764571.55","      62774","    1617660","         50.68"
"MOTHERSUMI","EQ","20-Aug-2018","        311.90","        311.90","        317.70","        311.25","        314.90","        315.65","        314.76","    3126802","           984195261.90","      29086","    1562251","         49.96"
