"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PEL","EQ","16-Jul-2018","       2519.45","       2523.90","       2547.60","       2508.65","       2525.00","       2522.50","       2529.18","     211463","           534828741.20","      12717","     137829","         65.18"
"PEL","EQ","17-Jul-2018","       2522.50","       2525.00","       2550.00","       2483.30","       2539.90","       2531.40","       2514.73","     167788","           421940755.70","      12676","     114318","         68.13"
"PEL","EQ","18-Jul-2018","       2531.40","       2539.90","       2590.95","       2532.60","       2553.90","       2560.40","       2564.27","     221721","           568553298.00","      18021","     149034","         67.22"
"PEL","EQ","19-Jul-2018","       2560.40","       2549.90","       2549.90","       2500.00","       2519.30","       2525.15","       2525.29","     126939","           320558196.00","      11394","      84208","         66.34"
"PEL","EQ","20-Jul-2018","       2525.15","       2520.00","       2530.00","       2490.00","       2502.00","       2501.95","       2503.39","     110709","           277148319.25","       9348","      73173","         66.09"
"PEL","EQ","23-Jul-2018","       2501.95","       2502.05","       2570.00","       2488.95","       2546.00","       2551.75","       2528.38","     116760","           295213677.70","      10484","      67200","         57.55"
"PEL","D1","24-Jul-2018","      99500.00","     105000.00","     107400.00","     105000.00","     107400.00","     107400.00","     105011.62","        413","            43369800.00","         16","        411","         99.52"
"PEL","EQ","24-Jul-2018","       2551.75","       2555.00","       2728.00","       2555.00","       2716.00","       2721.40","       2663.60","     581308","          1548374432.75","      28979","     295362","         50.81"
"PEL","EQ","25-Jul-2018","       2721.40","       2729.00","       2743.15","       2694.20","       2696.30","       2700.05","       2711.53","     315133","           854493587.70","      11468","     224634","         71.28"
"PEL","EQ","26-Jul-2018","       2700.05","       2697.85","       2728.45","       2655.00","       2699.75","       2684.25","       2694.64","     188354","           507546988.70","      12630","      69054","         36.66"
"PEL","EQ","27-Jul-2018","       2684.25","       2693.55","       2725.00","       2633.40","       2638.00","       2653.60","       2666.32","     146462","           390513995.00","       8113","      74150","         50.63"
"PEL","D1","30-Jul-2018","     107400.00","     109800.00","     109800.00","     109800.00","     109800.00","     109800.00","     109800.00","          1","              109800.00","          1","          1","        100.00"
"PEL","EQ","30-Jul-2018","       2653.60","       2635.00","       2705.00","       2630.20","       2673.00","       2668.65","       2662.80","     361741","           963245312.40","      23019","      78752","         21.77"
"PEL","D1","31-Jul-2018","     109800.00","     111000.00","     111000.00","     111000.00","     111000.00","     111000.00","     111000.00","         10","             1110000.00","          6","         10","        100.00"
"PEL","EQ","31-Jul-2018","       2668.65","       2668.95","       2698.15","       2642.00","       2669.00","       2679.80","       2669.06","     119287","           318384527.95","       7431","      53301","         44.68"
"PEL","EQ","01-Aug-2018","       2679.80","       2675.00","       2817.05","       2657.05","       2805.00","       2806.30","       2749.23","     602417","          1656182557.25","      28925","     302462","         50.21"
"PEL","D1","02-Aug-2018","     111000.00","     118000.00","     120000.00","     118000.00","     120000.00","     120000.00","     119636.35","         55","             6579999.30","          9","         48","         87.27"
"PEL","EQ","02-Aug-2018","       2806.30","       2818.00","       3018.70","       2818.00","       2850.00","       2850.85","       2922.13","    2409694","          7041435909.70","     126236","     770757","         31.99"
"PEL","EQ","03-Aug-2018","       2850.85","       2872.20","       2900.00","       2782.60","       2806.80","       2794.35","       2837.76","     406999","          1154966149.80","      21272","      88128","         21.65"
"PEL","EQ","06-Aug-2018","       2794.35","       2824.90","       2841.10","       2766.20","       2807.00","       2803.80","       2800.48","     336943","           943602070.85","      15185","     175688","         52.14"
"PEL","EQ","07-Aug-2018","       2803.80","       2824.00","       2923.30","       2805.00","       2901.00","       2906.10","       2874.83","     563847","          1620963369.95","      26496","     206457","         36.62"
"PEL","EQ","08-Aug-2018","       2906.10","       2900.00","       2918.65","       2865.40","       2875.00","       2876.25","       2890.91","     274439","           793378226.40","      14755","     101722","         37.07"
"PEL","EQ","09-Aug-2018","       2876.25","       2875.00","       2905.00","       2861.25","       2880.00","       2872.30","       2882.52","     182523","           526125747.00","       9350","      72880","         39.93"
"PEL","D1","10-Aug-2018","     120000.00","     111530.00","     111530.00","     111530.00","     111530.00","     111530.00","     111530.00","        500","            55765000.00","          1","        500","        100.00"
"PEL","EQ","10-Aug-2018","       2872.30","       2866.00","       2895.00","       2793.00","       2807.00","       2809.55","       2839.58","     160577","           455970677.80","       9617","      60635","         37.76"
"PEL","D1","13-Aug-2018","     111530.00","     111530.00","     114340.00","     111530.00","     111550.00","     111550.00","     112013.07","       1948","           218201460.00","         16","       1600","         82.14"
"PEL","EQ","13-Aug-2018","       2809.55","       2798.00","       2829.15","       2770.00","       2783.00","       2777.70","       2799.51","      96970","           271468573.55","       6664","      30647","         31.60"
"PEL","D1","14-Aug-2018","     111550.00","     111530.00","     111530.00","     111530.00","     111530.00","     111530.00","     111530.00","        370","            41266100.00","         32","        370","        100.00"
"PEL","EQ","14-Aug-2018","       2777.70","       2778.95","       2850.75","       2730.10","       2838.00","       2833.75","       2789.28","     154276","           430318243.85","      11244","      52381","         33.95"
"PEL","D1","16-Aug-2018","     111530.00","     110000.00","     110000.00","     107200.00","     107200.00","     107200.00","     107204.70","      14903","          1597671600.00","         55","      14903","        100.00"
"PEL","EQ","16-Aug-2018","       2833.75","       2830.00","       2834.00","       2680.50","       2707.00","       2711.45","       2744.81","     300181","           823940515.65","      32598","     124638","         41.52"
"PEL","EQ","17-Aug-2018","       2711.45","       2713.00","       2737.70","       2684.50","       2711.95","       2703.20","       2715.81","     334400","           908166399.55","      40601","     126056","         37.70"
"PEL","EQ","20-Aug-2018","       2703.20","       2718.00","       2781.90","       2710.00","       2760.00","       2771.80","       2761.32","     256597","           708545239.00","      20674","      79639","         31.04"
"PEL","EQ","21-Aug-2018","       2771.80","       2790.00","       2862.30","       2785.00","       2848.00","       2844.80","       2825.43","     373656","          1055737841.55","      20559","     112567","         30.13"
"PEL","EQ","23-Aug-2018","       2844.80","       2871.80","       2902.10","       2802.50","       2812.20","       2815.25","       2846.46","     287578","           818580539.45","      18652","     102739","         35.73"
"PEL","D1","24-Aug-2018","     107200.00","     113000.00","     113000.00","     111500.00","     111500.00","     111500.00","     111636.83","       1670","           186433500.00","         16","       1670","        100.00"
"PEL","EQ","24-Aug-2018","       2815.25","       2825.00","       2901.00","       2790.35","       2900.00","       2880.55","       2852.05","     364021","          1038205797.45","      18542","     145637","         40.01"
"PEL","D1","27-Aug-2018","     111500.00","     119000.00","     125000.00","     119000.00","     119600.00","     119600.00","     121200.00","         15","             1818000.00","          3","         10","         66.67"
"PEL","EQ","27-Aug-2018","       2880.55","       2917.95","       3075.00","       2901.25","       3074.00","       3060.85","       3002.62","    1047466","          3145143522.95","      56934","     250329","         23.90"
"PEL","EQ","28-Aug-2018","       3060.85","       3094.00","       3150.00","       3070.00","       3103.00","       3103.75","       3111.47","    1020654","          3175729400.30","      60138","     160375","         15.71"
"PEL","EQ","29-Aug-2018","       3103.75","       3103.75","       3142.00","       3081.00","       3119.00","       3119.55","       3118.24","     328255","          1023579410.00","      16311","     104997","         31.99"
"PEL","EQ","30-Aug-2018","       3119.55","       3121.25","       3144.85","       3091.15","       3129.00","       3121.45","       3116.41","     271773","           846955460.90","      11396","     104944","         38.61"
"PEL","D1","31-Aug-2018","     119600.00","     136500.00","     136500.00","     128505.00","     134000.00","     133931.47","     132577.50","        162","            21477554.97","         28","        106","         65.43"
"PEL","EQ","31-Aug-2018","       3121.45","       3125.25","       3307.95","       3119.95","       3209.00","       3199.75","       3234.21","    1304769","          4219894521.20","      72264","     379759","         29.11"
