"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANKINDIA","EQ","16-Jul-2018","         81.70","         82.00","         82.00","         76.80","         76.90","         77.50","         79.09","    5272685","           417038904.30","      17790","    1007889","         19.12"
"BANKINDIA","EQ","17-Jul-2018","         77.50","         77.00","         82.45","         76.50","         81.70","         81.95","         80.12","    9434073","           755887149.35","      29055","    1665934","         17.66"
"BANKINDIA","EQ","18-Jul-2018","         81.95","         82.70","         83.15","         77.10","         79.60","         79.05","         79.34","    9328796","           740187081.45","      29188","     781994","          8.38"
"BANKINDIA","EQ","19-Jul-2018","         79.05","         79.50","         84.30","         77.70","         83.20","         82.75","         81.97","   11185400","           916906023.40","      36283","    1424566","         12.74"
"BANKINDIA","EQ","20-Jul-2018","         82.75","         82.25","         83.90","         81.55","         83.20","         83.25","         82.85","    7259483","           601423350.00","      23208","     415248","          5.72"
"BANKINDIA","EQ","23-Jul-2018","         83.25","         82.35","         86.80","         81.50","         86.35","         86.35","         84.29","    8445233","           711859171.25","      25504","     975133","         11.55"
"BANKINDIA","EQ","24-Jul-2018","         86.35","         86.50","         88.75","         86.00","         87.85","         87.85","         87.50","    7091530","           620527915.35","      21442","     512977","          7.23"
"BANKINDIA","EQ","25-Jul-2018","         87.85","         88.00","         89.40","         86.75","         88.00","         88.20","         88.15","    5919512","           521812681.55","      17257","     478426","          8.08"
"BANKINDIA","EQ","26-Jul-2018","         88.20","         89.65","         96.50","         88.70","         95.60","         95.60","         92.79","   14916998","          1384163555.50","      47500","    3062978","         20.53"
"BANKINDIA","EQ","27-Jul-2018","         95.60","         96.70","         99.45","         95.70","         97.95","         97.80","         97.61","   13219917","          1290331173.15","      42278","    1217711","          9.21"
"BANKINDIA","EQ","30-Jul-2018","         97.80","         99.00","        104.15","         98.85","        103.15","        103.25","        102.02","   15015297","          1531893828.35","      49413","    1931775","         12.87"
"BANKINDIA","EQ","31-Jul-2018","        103.25","        103.50","        104.35","         93.30","         94.20","         94.40","         99.40","   39904156","          3966389872.30","     140199","    4617816","         11.57"
"BANKINDIA","EQ","01-Aug-2018","         94.40","         94.00","         96.35","         93.00","         94.70","         95.35","         94.81","   15797718","          1497818742.15","      57808","    1232662","          7.80"
"BANKINDIA","EQ","02-Aug-2018","         95.35","         94.40","         95.70","         92.60","         94.60","         94.65","         94.40","    8841351","           834619142.90","      29874","     634365","          7.17"
"BANKINDIA","EQ","03-Aug-2018","         94.65","         94.60","         96.75","         94.50","         95.50","         95.65","         95.68","    7722981","           738949316.35","      27128","     868806","         11.25"
"BANKINDIA","EQ","06-Aug-2018","         95.65","         96.00","         98.20","         95.70","         98.00","         97.50","         96.93","    8261126","           800711058.55","      33741","    1370500","         16.59"
"BANKINDIA","EQ","07-Aug-2018","         97.50","         98.00","         98.35","         94.20","         94.65","         94.95","         96.18","    7886180","           758496761.60","      30616","    1049641","         13.31"
"BANKINDIA","EQ","08-Aug-2018","         94.95","         95.70","         95.90","         93.35","         93.85","         94.00","         94.63","    5602605","           530158877.25","      18821","     617222","         11.02"
"BANKINDIA","EQ","09-Aug-2018","         94.00","         95.15","         98.80","         94.75","         98.10","         98.00","         97.39","   11522528","          1122147271.30","      37101","    2686077","         23.31"
"BANKINDIA","EQ","10-Aug-2018","         98.00","         98.40","         98.40","         92.75","         93.30","         93.60","         95.33","   11674121","          1112881127.65","      37137","    1626238","         13.93"
"BANKINDIA","EQ","13-Aug-2018","         93.60","         93.00","         93.00","         88.05","         90.65","         90.00","         90.86","    7508900","           682243213.20","      25508","    1275054","         16.98"
"BANKINDIA","EQ","14-Aug-2018","         90.00","         90.80","         91.80","         89.15","         90.45","         90.45","         90.62","    7662377","           694378964.10","      25203","     836752","         10.92"
"BANKINDIA","EQ","16-Aug-2018","         90.45","         90.20","         91.50","         87.75","         88.75","         88.85","         89.83","    6402432","           575146446.95","      23886","     828719","         12.94"
"BANKINDIA","EQ","17-Aug-2018","         88.85","         90.15","         93.90","         90.15","         93.80","         93.30","         92.37","   12970922","          1198130138.00","      46567","    1367542","         10.54"
"BANKINDIA","EQ","20-Aug-2018","         93.30","         94.25","         96.00","         93.00","         95.45","         95.60","         94.42","    7281785","           687552165.75","      26080","    1060278","         14.56"
"BANKINDIA","EQ","21-Aug-2018","         95.60","         95.90","         96.85","         94.60","         96.10","         95.95","         95.74","    6258726","           599224151.35","      19630","     628190","         10.04"
"BANKINDIA","EQ","23-Aug-2018","         95.95","         96.00","         96.35","         92.00","         93.80","         93.85","         93.53","    8908729","           833277714.05","      28350","     788159","          8.85"
"BANKINDIA","EQ","24-Aug-2018","         93.85","         93.50","         94.70","         92.60","         93.10","         93.10","         93.52","    5545129","           518554606.00","      20028","     725540","         13.08"
"BANKINDIA","EQ","27-Aug-2018","         93.10","         93.50","         95.85","         93.50","         94.55","         94.75","         94.80","    6329518","           600063350.10","      19298","     857416","         13.55"
"BANKINDIA","EQ","28-Aug-2018","         94.75","         95.00","         95.00","         90.60","         91.60","         91.50","         91.89","    8445521","           776038966.90","      29953","    1649015","         19.53"
"BANKINDIA","EQ","29-Aug-2018","         91.50","         91.90","         95.80","         91.40","         95.25","         95.25","         94.17","    9749862","           918157302.90","      27796","    2309760","         23.69"
"BANKINDIA","EQ","30-Aug-2018","         95.25","         95.60","        100.70","         93.85","         99.90","         99.85","         97.97","   14271823","          1398243137.85","      47075","    2142460","         15.01"
"BANKINDIA","EQ","31-Aug-2018","         99.85","         99.00","        101.00","         96.45","        100.90","        100.45","         98.69","   11090429","          1094472679.60","      37034","     849204","          7.66"
"BANKINDIA","EQ","03-Sep-2018","        100.45","        100.70","        103.00","         99.00","         99.45","         99.65","        101.26","    8751388","           886160179.55","      30393","    1020809","         11.66"
"BANKINDIA","EQ","04-Sep-2018","         99.65","         99.40","         99.80","         94.70","         95.05","         94.95","         97.00","    8643715","           838453945.80","      26174","    1144076","         13.24"
