"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DISHTV","EQ","16-Jul-2018","         73.40","         73.50","         74.65","         67.95","         68.55","         68.70","         70.78","    4317821","           305613085.70","      17329","    1246994","         28.88"
"DISHTV","EQ","17-Jul-2018","         68.70","         68.80","         69.60","         66.35","         68.45","         68.40","         67.83","    4743131","           321730753.45","      17958","    1122565","         23.67"
"DISHTV","EQ","18-Jul-2018","         68.40","         68.50","         69.70","         66.65","         68.35","         68.30","         68.03","    4422409","           300842214.80","      17980","    1552435","         35.10"
"DISHTV","EQ","19-Jul-2018","         68.30","         68.30","         69.40","         67.15","         67.65","         67.75","         68.04","    4580693","           311663900.60","      20414","    2091911","         45.67"
"DISHTV","EQ","20-Jul-2018","         67.75","         67.35","         68.65","         66.85","         68.15","         68.40","         67.70","    1967068","           133179293.10","       8245","     614891","         31.26"
"DISHTV","EQ","23-Jul-2018","         68.40","         68.30","         71.25","         67.60","         70.45","         70.85","         69.47","    2670350","           185502148.15","       9216","     857381","         32.11"
"DISHTV","EQ","24-Jul-2018","         70.85","         70.75","         72.50","         69.40","         71.65","         71.85","         70.94","    4484391","           318120279.70","      11022","     927844","         20.69"
"DISHTV","EQ","25-Jul-2018","         71.85","         71.75","         71.75","         69.40","         69.50","         69.85","         70.57","    3876143","           273536631.55","       7280","    2234672","         57.65"
"DISHTV","EQ","26-Jul-2018","         69.85","         68.65","         69.15","         65.70","         66.85","         67.30","         67.26","   12057766","           810951928.10","      29668","    6088628","         50.50"
"DISHTV","EQ","27-Jul-2018","         67.30","         67.30","         68.00","         66.45","         67.05","         67.10","         67.07","    4574573","           306797367.95","       9426","    1981970","         43.33"
"DISHTV","EQ","30-Jul-2018","         67.10","         67.00","         67.30","         65.45","         66.40","         66.40","         66.29","    4541408","           301049801.70","      16398","    1100914","         24.24"
"DISHTV","EQ","31-Jul-2018","         66.40","         66.60","         67.10","         65.05","         65.80","         65.85","         65.83","    5525657","           363770627.65","      20745","    3115206","         56.38"
"DISHTV","EQ","01-Aug-2018","         65.85","         65.75","         66.20","         65.00","         65.75","         65.70","         65.56","    4002092","           262394846.30","      14449","    1975820","         49.37"
"DISHTV","EQ","02-Aug-2018","         65.70","         65.75","         67.30","         65.10","         66.70","         66.80","         66.40","    4527420","           300635767.35","      11551","    2167252","         47.87"
"DISHTV","EQ","03-Aug-2018","         66.80","         67.00","         68.50","         66.20","         68.20","         67.95","         67.36","    3903047","           262890598.85","      12851","    1726135","         44.23"
"DISHTV","EQ","06-Aug-2018","         67.95","         68.40","         68.50","         67.45","         68.35","         68.25","         68.12","    4071641","           277374323.35","      15093","    2219543","         54.51"
"DISHTV","EQ","07-Aug-2018","         68.25","         68.35","         68.60","         66.60","         68.10","         67.65","         67.57","    3385215","           228734545.40","       7149","    1730426","         51.12"
