"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ESCORTS","EQ","16-Jul-2018","        908.70","        907.95","        919.00","        858.70","        872.90","        875.40","        895.03","    1367756","          1224188967.90","      38173","     220225","         16.10"
"ESCORTS","EQ","17-Jul-2018","        875.40","        869.90","        895.80","        864.60","        895.80","        893.40","        882.76","     861152","           760186719.45","      22972","     114261","         13.27"
"ESCORTS","EQ","18-Jul-2018","        893.40","        893.50","        898.45","        851.10","        863.50","        861.40","        871.20","     784017","           683033865.25","      23215","     131812","         16.81"
"ESCORTS","EQ","19-Jul-2018","        861.40","        861.40","        862.25","        834.00","        839.45","        841.85","        845.38","    1159601","           980302807.10","      31832","     309584","         26.70"
"ESCORTS","EQ","20-Jul-2018","        841.85","        838.40","        859.60","        827.25","        845.00","        848.15","        845.63","    1040743","           880081147.50","      25885","     208131","         20.00"
"ESCORTS","EQ","23-Jul-2018","        848.15","        848.20","        862.00","        836.45","        854.95","        856.60","        849.10","     790358","           671089262.70","      20517","     103141","         13.05"
"ESCORTS","EQ","24-Jul-2018","        856.60","        856.60","        880.00","        852.00","        876.80","        870.90","        866.04","     751986","           651247185.00","      19648","     176200","         23.43"
"ESCORTS","EQ","25-Jul-2018","        870.90","        875.70","        902.15","        867.35","        887.00","        886.30","        889.65","    1679599","          1494249891.30","      37969","     302004","         17.98"
"ESCORTS","EQ","26-Jul-2018","        886.30","        887.00","        894.90","        874.20","        892.55","        889.10","        886.06","    1025795","           908921032.45","      24292","     244291","         23.81"
"ESCORTS","EQ","27-Jul-2018","        889.10","        890.70","        924.40","        888.35","        923.10","        921.50","        910.30","    1951632","          1776573827.90","      38066","     269634","         13.82"
"ESCORTS","EQ","30-Jul-2018","        921.50","        928.00","        932.00","        891.80","        907.95","        907.90","        915.34","    3459016","          3166187778.50","      77326","     421395","         12.18"
"ESCORTS","EQ","31-Jul-2018","        907.90","        911.00","        943.55","        910.90","        929.10","        928.05","        930.42","    3342488","          3109920526.85","      85627","     486906","         14.57"
"ESCORTS","EQ","01-Aug-2018","        928.05","        929.10","        929.15","        895.55","        903.25","        906.05","        906.45","    1865603","          1691073228.70","      46333","     507374","         27.20"
"ESCORTS","EQ","02-Aug-2018","        906.05","        901.80","        915.50","        897.10","        905.60","        904.25","        906.48","     881414","           798988396.20","      24929","     231928","         26.31"
"ESCORTS","EQ","03-Aug-2018","        904.25","        906.00","        911.85","        893.95","        898.75","        899.25","        902.37","     820739","           740611177.75","      20759","     299078","         36.44"
"ESCORTS","EQ","06-Aug-2018","        899.25","        905.00","        908.45","        877.00","        882.00","        880.05","        890.02","     874521","           778339159.25","      24860","     273387","         31.26"
"ESCORTS","EQ","07-Aug-2018","        880.05","        882.10","        896.00","        867.25","        873.70","        873.70","        878.42","    1086640","           954523051.70","      35672","     324285","         29.84"
"ESCORTS","EQ","08-Aug-2018","        873.70","        874.90","        886.90","        868.20","        877.00","        876.50","        878.58","    1040259","           913948713.30","      26554","     320734","         30.83"
"ESCORTS","EQ","09-Aug-2018","        876.50","        876.50","        883.25","        870.00","        876.20","        878.75","        877.19","     765431","           671431702.60","      19533","     237904","         31.08"
"ESCORTS","EQ","10-Aug-2018","        878.75","        880.00","        884.00","        861.20","        862.60","        865.25","        871.87","     559991","           488236922.20","      17415","     142719","         25.49"
"ESCORTS","EQ","13-Aug-2018","        865.25","        860.00","        867.00","        852.25","        855.00","        856.30","        859.74","     668530","           574762282.65","      22576","     237372","         35.51"
"ESCORTS","EQ","14-Aug-2018","        856.30","        860.00","        878.40","        856.00","        877.95","        875.80","        869.73","     998987","           868853685.90","      27048","     385686","         38.61"
"ESCORTS","EQ","16-Aug-2018","        875.80","        875.95","        882.70","        864.00","        872.00","        869.50","        872.47","     824478","           719335392.40","      21929","     285313","         34.61"
"ESCORTS","EQ","17-Aug-2018","        869.50","        870.00","        881.80","        862.60","        869.50","        869.30","        872.50","     688681","           600876743.90","      17273","     216995","         31.51"
"ESCORTS","EQ","20-Aug-2018","        869.30","        874.00","        896.45","        869.00","        892.50","        891.20","        886.37","    1623821","          1439312448.65","      38346","     532022","         32.76"
"ESCORTS","EQ","21-Aug-2018","        891.20","        897.70","        909.80","        895.15","        897.50","        899.55","        902.75","    1407121","          1270281299.65","      36916","     261167","         18.56"
"ESCORTS","EQ","23-Aug-2018","        899.55","        900.80","        902.25","        879.40","        886.10","        886.55","        886.80","     758831","           672933987.15","      31915","     153343","         20.21"
"ESCORTS","EQ","24-Aug-2018","        886.55","        884.90","        898.80","        883.00","        889.00","        891.65","        892.33","     720857","           643240381.15","      19229","     112886","         15.66"
"ESCORTS","EQ","27-Aug-2018","        891.65","        893.00","        897.75","        885.00","        886.15","        888.60","        890.64","     621620","           553640166.65","      16075","     108520","         17.46"
"ESCORTS","EQ","28-Aug-2018","        888.60","        892.80","        907.10","        880.85","        893.70","        895.35","        895.30","    1660001","          1486203131.45","      41410","     524574","         31.60"
"ESCORTS","EQ","29-Aug-2018","        895.35","        896.00","        902.35","        888.00","        890.55","        894.80","        895.67","     844911","           756762889.55","      21458","     269214","         31.86"
