"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GODREJIND","EQ","16-Jul-2018","        584.50","        584.10","        584.50","        571.05","        573.40","        574.85","        574.91","     207882","           119512788.75","       9797","      56090","         26.98"
"GODREJIND","EQ","17-Jul-2018","        574.85","        571.00","        601.00","        565.50","        596.15","        596.10","        589.81","     743166","           438323534.40","      16426","     365782","         49.22"
"GODREJIND","EQ","18-Jul-2018","        596.10","        599.00","        604.55","        593.25","        596.40","        598.10","        597.83","     428822","           256361834.05","       8800","     154120","         35.94"
"GODREJIND","EQ","19-Jul-2018","        598.10","        599.05","        603.90","        583.95","        599.95","        596.30","        592.61","     292209","           173165248.55","       7764","      39443","         13.50"
"GODREJIND","EQ","20-Jul-2018","        596.30","        593.05","        600.20","        589.00","        590.30","        591.85","        594.42","     260553","           154877687.65","      11695","      35353","         13.57"
"GODREJIND","EQ","23-Jul-2018","        591.85","        598.00","        610.90","        584.40","        605.00","        605.20","        595.60","     484127","           288343914.85","       8456","     239979","         49.57"
"GODREJIND","EQ","24-Jul-2018","        605.20","        609.30","        617.00","        601.00","        605.05","        612.25","        611.47","     648912","           396789617.50","      23265","     260832","         40.20"
"GODREJIND","EQ","25-Jul-2018","        612.25","        608.20","        624.95","        602.95","        606.50","        608.85","        616.35","     644364","           397155576.60","      16362","     140872","         21.86"
"GODREJIND","EQ","26-Jul-2018","        608.85","        609.00","        618.00","        604.00","        616.90","        611.10","        612.62","     578831","           354604385.10","      19903","     237899","         41.10"
"GODREJIND","EQ","27-Jul-2018","        611.10","        616.00","        650.25","        612.90","        637.70","        637.60","        633.90","     905921","           574263883.05","      20879","     235363","         25.98"
"GODREJIND","EQ","30-Jul-2018","        637.60","        644.00","        648.15","        631.80","        641.05","        642.55","        643.31","     861135","           553973064.55","      20174","     313406","         36.39"
"GODREJIND","EQ","31-Jul-2018","        642.55","        647.30","        652.00","        636.30","        651.00","        648.65","        644.84","     547545","           353078335.15","      11796","     143072","         26.13"
"GODREJIND","EQ","01-Aug-2018","        648.65","        654.00","        657.60","        638.80","        644.65","        644.65","        647.50","     542525","           351282262.35","      16352","     143859","         26.52"
"GODREJIND","EQ","02-Aug-2018","        644.65","        643.00","        645.00","        628.45","        631.50","        632.30","        636.01","     409122","           260206428.15","      17626","     104446","         25.53"
"GODREJIND","EQ","03-Aug-2018","        632.30","        633.00","        643.70","        619.35","        626.00","        623.55","        630.49","     669688","           422231003.50","      13753","     368329","         55.00"
"GODREJIND","EQ","06-Aug-2018","        623.55","        628.20","        635.95","        615.75","        628.00","        629.15","        629.88","     589257","           371163341.40","      16969","     266012","         45.14"
"GODREJIND","EQ","07-Aug-2018","        629.15","        629.55","        636.45","        621.05","        628.00","        629.30","        630.18","     447563","           282043716.30","       9261","     128055","         28.61"
"GODREJIND","EQ","08-Aug-2018","        629.30","        632.00","        633.00","        615.55","        620.80","        618.60","        623.41","     334072","           208264980.80","      13844","     120955","         36.21"
"GODREJIND","EQ","09-Aug-2018","        618.60","        620.70","        627.90","        610.10","        616.60","        619.10","        616.96","     335459","           206964903.40","      10324","     107816","         32.14"
"GODREJIND","EQ","10-Aug-2018","        619.10","        621.90","        625.50","        612.50","        615.00","        616.40","        620.40","     208745","           129505012.05","       4530","      57163","         27.38"
"GODREJIND","EQ","13-Aug-2018","        616.40","        614.60","        620.00","        592.05","        597.80","        598.40","        601.36","    1000287","           601535198.55","      22488","     127225","         12.72"
"GODREJIND","EQ","14-Aug-2018","        598.40","        595.90","        606.80","        591.00","        603.00","        603.70","        598.21","     384552","           230042731.00","       6806","     116305","         30.24"
"GODREJIND","EQ","16-Aug-2018","        603.70","        605.00","        613.80","        598.10","        612.55","        610.60","        607.90","     241652","           146899746.25","      11388","      67416","         27.90"
"GODREJIND","EQ","17-Aug-2018","        610.60","        615.40","        615.95","        603.10","        611.00","        610.30","        609.34","     326859","           199169365.00","      10142","      48990","         14.99"
"GODREJIND","EQ","20-Aug-2018","        610.30","        612.60","        625.80","        610.00","        618.15","        618.95","        619.68","     637316","           394930040.60","      13868","     293014","         45.98"
"GODREJIND","EQ","21-Aug-2018","        618.95","        621.00","        624.80","        614.10","        618.20","        619.80","        619.62","     287098","           177892488.10","       6673","     107297","         37.37"
"GODREJIND","EQ","23-Aug-2018","        619.80","        620.10","        636.75","        618.50","        625.30","        624.70","        629.10","     880835","           554134721.90","      13902","     201538","         22.88"
"GODREJIND","EQ","24-Aug-2018","        624.70","        627.90","        633.80","        621.05","        631.80","        630.05","        627.44","     390407","           244956027.75","      10157","     104512","         26.77"
"GODREJIND","EQ","27-Aug-2018","        630.05","        634.70","        637.00","        621.10","        622.00","        624.55","        629.29","     805367","           506810250.10","       9980","     465496","         57.80"
"GODREJIND","EQ","28-Aug-2018","        624.55","        627.80","        633.15","        622.30","        629.00","        629.80","        629.32","     336806","           211957572.65","      11074","      79357","         23.56"
"GODREJIND","EQ","29-Aug-2018","        629.80","        629.80","        636.95","        625.00","        631.00","        630.05","        631.85","     351025","           221793666.00","       7991","     122951","         35.03"
"GODREJIND","EQ","30-Aug-2018","        630.05","        630.30","        634.00","        625.80","        631.00","        629.70","        630.18","     150207","            94656785.40","       3296","      44101","         29.36"
"GODREJIND","EQ","31-Aug-2018","        629.70","        634.00","        649.70","        631.25","        647.00","        646.65","        642.24","     786474","           505104924.55","      17852","     268211","         34.10"
"GODREJIND","EQ","03-Sep-2018","        646.65","        648.00","        651.05","        626.00","        631.00","        629.95","        640.24","     462628","           296191004.05","      11031","     127586","         27.58"
"GODREJIND","EQ","04-Sep-2018","        629.95","        631.55","        633.00","        608.30","        610.25","        612.15","        615.09","     294067","           180876619.25","       7285","     111842","         38.03"
"GODREJIND","EQ","05-Sep-2018","        612.15","        610.00","        615.40","        591.75","        603.00","        601.95","        603.69","     295301","           178269573.80","       9556","     105991","         35.89"
"GODREJIND","EQ","06-Sep-2018","        601.95","        601.90","        612.00","        594.40","        601.90","        602.10","        601.82","     405683","           244150135.10","      11414","      98675","         24.32"
"GODREJIND","EQ","07-Sep-2018","        602.10","        603.75","        614.95","        599.20","        613.00","        612.65","        608.71","     247376","           150580019.75","       6548","      62817","         25.39"
"GODREJIND","EQ","10-Sep-2018","        612.65","        611.00","        611.00","        594.05","        595.00","        595.80","        600.99","     304428","           182957205.40","      12971","     107951","         35.46"
"GODREJIND","EQ","11-Sep-2018","        595.80","        595.80","        602.00","        580.05","        582.05","        583.50","        587.93","     345268","           202994684.90","      10778","      85674","         24.81"
"GODREJIND","EQ","12-Sep-2018","        583.50","        584.50","        595.00","        573.30","        593.40","        590.90","        584.95","     235536","           137777211.65","       8168","      35323","         15.00"
"GODREJIND","EQ","14-Sep-2018","        590.90","        593.75","        599.30","        584.50","        588.40","        589.75","        590.74","     382797","           226133055.15","       9446","     124664","         32.57"
"GODREJIND","EQ","17-Sep-2018","        589.75","        589.00","        589.00","        572.00","        576.30","        575.45","        575.99","     636225","           366461542.80","      11870","     261701","         41.13"
"GODREJIND","EQ","18-Sep-2018","        575.45","        575.15","        581.75","        565.40","        567.10","        568.50","        572.89","     327987","           187901546.90","      11318","      70130","         21.38"
"GODREJIND","EQ","19-Sep-2018","        568.50","        569.25","        574.20","        558.70","        563.25","        562.50","        563.32","     265889","           149781094.20","       7322","      87492","         32.91"
"GODREJIND","EQ","21-Sep-2018","        562.50","        565.10","        571.55","        510.00","        549.00","        547.20","        550.80","     827066","           455546946.55","      17052","     386850","         46.77"
"GODREJIND","EQ","24-Sep-2018","        547.20","        558.80","        558.80","        530.05","        531.80","        535.90","        538.61","     232158","           125042580.15","       8352","      92752","         39.95"
"GODREJIND","EQ","25-Sep-2018","        535.90","        535.10","        546.75","        529.05","        538.50","        540.20","        538.99","     231948","           125017064.70","      10133","      64795","         27.94"
"GODREJIND","EQ","26-Sep-2018","        540.20","        538.00","        549.60","        523.75","        536.00","        533.40","        530.99","     728475","           386814707.20","      19904","     276109","         37.90"
"GODREJIND","EQ","27-Sep-2018","        533.40","        538.40","        538.40","        518.40","        525.00","        525.85","        528.85","     513445","           271533773.55","      10172","     297643","         57.97"
"GODREJIND","EQ","28-Sep-2018","        525.85","        522.50","        530.00","        510.35","        517.35","        516.60","        519.98","     587000","           305225734.70","      23940","     268991","         45.82"
"GODREJIND","EQ","01-Oct-2018","        516.60","        517.00","        520.00","        498.00","        510.50","        508.15","        508.94","     736397","           374781620.45","      13674","     403897","         54.85"
"GODREJIND","EQ","03-Oct-2018","        508.15","        509.00","        518.00","        501.45","        505.65","        506.65","        508.16","     317847","           161517256.35","      12587","      93974","         29.57"
"GODREJIND","EQ","04-Oct-2018","        506.65","        507.00","        507.00","        483.40","        483.40","        486.25","        490.09","     459892","           225388761.70","      20819","     148018","         32.19"
"GODREJIND","EQ","05-Oct-2018","        486.25","        483.30","        486.50","        468.80","        472.50","        472.25","        476.44","     436854","           208136493.35","      19018","     157862","         36.14"
"GODREJIND","EQ","08-Oct-2018","        472.25","        468.10","        487.55","        465.75","        484.00","        481.95","        477.46","     453203","           216387140.55","      11439","     159290","         35.15"
"GODREJIND","EQ","09-Oct-2018","        481.95","        489.00","        499.85","        449.00","        449.00","        451.60","        468.35","     823741","           385795083.80","      21862","     217347","         26.39"
"GODREJIND","EQ","10-Oct-2018","        451.60","        446.35","        486.85","        442.90","        486.00","        482.40","        472.92","     784713","           371107195.45","      30994","     264347","         33.69"
"GODREJIND","EQ","11-Oct-2018","        482.40","        472.00","        485.00","        456.15","        480.00","        477.05","        474.78","     199060","            94509715.70","       5745","      30187","         15.16"
"GODREJIND","EQ","12-Oct-2018","        477.05","        480.00","        495.00","        474.00","        476.05","        477.80","        482.80","     297543","           143653176.85","       8911","     101416","         34.08"
"GODREJIND","EQ","15-Oct-2018","        477.80","        480.00","        494.80","        467.15","        491.10","        490.45","        478.59","     485058","           232143513.60","      15895","      78282","         16.14"
"GODREJIND","EQ","16-Oct-2018","        490.45","        491.10","        500.15","        483.60","        490.90","        489.10","        490.27","     362371","           177659619.15","      10783","     115469","         31.86"
"GODREJIND","EQ","17-Oct-2018","        489.10","        493.75","        497.95","        467.00","        472.30","        470.15","        477.39","     674673","           322084306.20","      15267","     425963","         63.14"
"GODREJIND","EQ","19-Oct-2018","        470.15","        469.00","        475.30","        450.20","        471.90","        468.75","        466.99","     381523","           178168759.80","      20660","     147379","         38.63"
"GODREJIND","EQ","22-Oct-2018","        468.75","        470.00","        476.05","        453.30","        460.00","        457.15","        460.68","     430649","           198390669.70","      14938","     189525","         44.01"
"GODREJIND","EQ","23-Oct-2018","        457.15","        450.50","        465.00","        443.30","        450.00","        447.30","        454.47","     390829","           177618283.05","      14220","     147085","         37.63"
"GODREJIND","EQ","24-Oct-2018","        447.30","        450.25","        463.60","        445.00","        458.85","        455.15","        453.03","     370205","           167714294.65","       9277","      45259","         12.23"
"GODREJIND","EQ","25-Oct-2018","        455.15","        450.00","        454.95","        434.50","        447.80","        449.00","        446.58","     452854","           202235098.45","      13638","     122204","         26.99"
"GODREJIND","EQ","26-Oct-2018","        449.00","        441.05","        462.00","        436.95","        459.15","        460.35","        452.08","     567481","           256547921.80","      12928","     180477","         31.80"
"GODREJIND","EQ","29-Oct-2018","        460.35","        456.65","        463.45","        449.60","        459.40","        459.95","        456.63","     338074","           154374583.05","      13256","      78880","         23.33"
"GODREJIND","EQ","30-Oct-2018","        459.95","        460.80","        477.60","        458.00","        461.35","        461.65","        467.31","     562245","           262740801.45","      20860","     150969","         26.85"
"GODREJIND","EQ","31-Oct-2018","        461.65","        464.50","        469.50","        455.85","        467.00","        467.40","        464.19","     368906","           171240714.60","      12942","     145888","         39.55"
"GODREJIND","EQ","01-Nov-2018","        467.40","        467.00","        480.75","        464.00","        464.25","        465.75","        473.59","     393321","           186271260.45","       8609","      84309","         21.44"
"GODREJIND","EQ","02-Nov-2018","        465.75","        464.30","        485.10","        463.10","        477.00","        477.70","        478.29","     549750","           262939581.65","      16467","     142266","         25.88"
"GODREJIND","EQ","05-Nov-2018","        477.70","        481.30","        489.35","        470.85","        479.00","        479.85","        480.98","     509417","           245017386.00","      12998","      86975","         17.07"
"GODREJIND","EQ","06-Nov-2018","        479.85","        480.00","        483.95","        466.95","        470.55","        470.70","        473.40","     149314","            70684695.30","       4630","      40175","         26.91"
"GODREJIND","EQ","07-Nov-2018","        470.70","        474.00","        476.80","        469.40","        471.00","        473.55","        473.50","      36170","            17126512.70","        920","      11050","         30.55"
