"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GUJGASLTD","EQ","16-Jul-2018","        760.05","        766.00","        766.00","        748.15","        750.00","        751.10","        752.75","       6605","             4971894.00","        478","       2870","         43.45"
"GUJGASLTD","EQ","17-Jul-2018","        751.10","        748.15","        758.20","        744.35","        752.45","        754.70","        753.21","       8149","             6137922.05","        682","       3751","         46.03"
"GUJGASLTD","EQ","18-Jul-2018","        754.70","        752.50","        756.75","        744.00","        745.45","        744.85","        749.59","       5399","             4047025.65","        453","       2004","         37.12"
"GUJGASLTD","EQ","19-Jul-2018","        744.85","        744.00","        759.50","        736.00","        747.15","        749.60","        741.97","       9522","             7065035.95","        774","       4031","         42.33"
"GUJGASLTD","EQ","20-Jul-2018","        749.60","        749.80","        757.00","        740.00","        747.00","        749.30","        747.48","       6921","             5173318.65","        716","       2605","         37.64"
"GUJGASLTD","EQ","23-Jul-2018","        749.30","        744.00","        765.00","        744.00","        760.00","        759.15","        754.99","       8409","             6348741.80","       1066","       5300","         63.03"
"GUJGASLTD","EQ","24-Jul-2018","        759.15","        757.10","        780.00","        757.10","        780.00","        776.80","        773.31","       8304","             6421580.15","       1501","       5148","         61.99"
"GUJGASLTD","EQ","25-Jul-2018","        776.80","        776.80","        791.00","        763.15","        763.15","        770.35","        780.56","      16985","            13257760.25","        792","      13291","         78.25"
"GUJGASLTD","EQ","26-Jul-2018","        770.35","        765.65","        775.10","        756.25","        767.30","        764.65","        764.07","      16287","            12444443.60","        800","      12653","         77.69"
"GUJGASLTD","EQ","27-Jul-2018","        764.65","        761.05","        778.80","        761.05","        773.00","        770.40","        770.88","      49898","            38465338.35","       2552","      44037","         88.25"
"GUJGASLTD","EQ","30-Jul-2018","        770.40","        774.00","        787.45","        771.00","        780.00","        779.95","        780.95","      72831","            56877620.40","       5312","      61960","         85.07"
"GUJGASLTD","EQ","31-Jul-2018","        779.95","        800.00","        826.35","        780.05","        792.75","        788.20","        794.68","     300654","           238923883.60","      19555","     114868","         38.21"
"GUJGASLTD","EQ","01-Aug-2018","        788.20","        800.00","        802.95","        786.00","        792.70","        790.80","        792.11","      45695","            36195387.10","       4594","      24464","         53.54"
"GUJGASLTD","EQ","02-Aug-2018","        790.80","        792.00","        797.95","        785.00","        793.10","        790.80","        792.58","      15923","            12620284.30","       1202","       9883","         62.07"
"GUJGASLTD","EQ","03-Aug-2018","        790.80","        796.80","        796.80","        775.00","        777.50","        779.45","        786.82","      14296","            11248315.55","       1311","       8799","         61.55"
"GUJGASLTD","EQ","06-Aug-2018","        779.45","        778.55","        778.55","        767.50","        769.00","        769.15","        771.93","      11758","             9076338.05","        598","       8543","         72.66"
"GUJGASLTD","EQ","07-Aug-2018","        769.15","        765.05","        789.00","        759.25","        782.00","        783.25","        773.60","      17500","            13538054.80","        799","       9592","         54.81"
"GUJGASLTD","EQ","08-Aug-2018","        783.25","        788.00","        797.90","        741.00","        765.00","        765.05","        773.72","      61217","            47364830.80","       2109","      25219","         41.20"
"GUJGASLTD","EQ","09-Aug-2018","        765.05","        765.00","        773.80","        765.00","        770.00","        771.50","        769.78","       5603","             4313064.00","        294","       3674","         65.57"
"GUJGASLTD","EQ","10-Aug-2018","        771.50","        775.00","        775.00","        754.00","        765.00","        770.45","        768.53","      15353","            11799181.75","       1576","      12531","         81.62"
"GUJGASLTD","EQ","13-Aug-2018","        770.45","        762.95","        772.00","        760.05","        770.50","        769.75","        769.52","      21685","            16687068.10","        724","      19813","         91.37"
"GUJGASLTD","EQ","14-Aug-2018","        769.75","        765.55","        779.00","        762.50","        778.80","        774.90","        771.58","      16902","            13041229.30","        802","      14253","         84.33"
"GUJGASLTD","EQ","16-Aug-2018","        774.90","        772.90","        789.00","        760.00","        779.00","        779.35","        781.68","     417380","           326258862.30","       2008","     401636","         96.23"
"GUJGASLTD","EQ","17-Aug-2018","        779.35","        784.35","        784.75","        762.90","        771.05","        769.00","        773.46","       7988","             6178409.40","        818","       3997","         50.04"
"GUJGASLTD","EQ","20-Aug-2018","        769.00","        776.00","        782.15","        766.10","        773.00","        775.05","        776.70","      10337","             8028777.95","        709","       2554","         24.71"
"GUJGASLTD","EQ","21-Aug-2018","        775.05","        775.05","        782.00","        769.55","        779.05","        779.60","        777.53","      12092","             9401931.55","        432","       7641","         63.19"
"GUJGASLTD","EQ","23-Aug-2018","        779.60","        785.00","        785.00","        770.00","        771.25","        774.75","        776.23","      16069","            12473259.40","        526","      14177","         88.23"
"GUJGASLTD","EQ","24-Aug-2018","        774.75","        774.00","        780.00","        772.80","        777.00","        775.20","        774.45","      12006","             9298093.95","        372","       7676","         63.93"
"GUJGASLTD","EQ","27-Aug-2018","        775.20","        776.90","        789.95","        774.60","        778.00","        777.60","        776.78","      55826","            43364270.15","        850","      52838","         94.65"
"GUJGASLTD","EQ","28-Aug-2018","        777.60","        780.75","        780.75","        763.35","        770.00","        771.05","        770.78","      10996","             8475444.35","        737","       7539","         68.56"
"GUJGASLTD","EQ","29-Aug-2018","        771.05","        771.00","        777.85","        768.25","        775.00","        773.25","        772.15","       5087","             3927949.25","        315","       3683","         72.40"
"GUJGASLTD","EQ","30-Aug-2018","        773.25","        773.30","        776.55","        763.00","        771.00","        770.85","        773.11","      15407","            11911359.45","        692","      12901","         83.73"
"GUJGASLTD","EQ","31-Aug-2018","        770.85","        770.95","        779.90","        763.15","        777.00","        774.45","        767.36","      92997","            71362319.40","       3289","      81974","         88.15"
"GUJGASLTD","EQ","03-Sep-2018","        774.45","        784.90","        784.90","        763.05","        767.25","        765.20","        772.53","      14456","            11167723.35","        314","      12896","         89.21"
"GUJGASLTD","EQ","04-Sep-2018","        765.20","        765.20","        769.30","        745.00","        745.00","        745.75","        755.82","      10435","             7886993.30","        607","       7643","         73.24"
"GUJGASLTD","EQ","05-Sep-2018","        745.75","        743.00","        754.15","        710.25","        738.00","        721.95","        723.39","      33988","            24586623.15","       2830","      25144","         73.98"
"GUJGASLTD","EQ","06-Sep-2018","        721.95","        716.00","        729.95","        716.00","        720.00","        720.00","        719.86","      29726","            21398440.35","      10260","      24334","         81.86"
"GUJGASLTD","EQ","07-Sep-2018","        720.00","        720.00","        730.10","        703.20","        719.40","        710.95","        716.18","      10913","             7815715.75","       2228","       7351","         67.36"
"GUJGASLTD","EQ","10-Sep-2018","        710.95","        717.95","        719.60","        695.00","        700.00","        699.05","        699.17","     233341","           163144800.85","       4424","     225292","         96.55"
"GUJGASLTD","EQ","11-Sep-2018","        699.05","        703.00","        715.00","        695.00","        700.00","        698.55","        700.69","      13031","             9130704.40","       2638","       7868","         60.38"
"GUJGASLTD","EQ","12-Sep-2018","        698.55","        693.50","        774.70","        656.25","        727.85","        727.10","        685.15","      86966","            59584378.00","       8027","      26516","         30.49"
"GUJGASLTD","EQ","14-Sep-2018","        727.10","        727.20","        739.45","        710.00","        717.80","        715.10","        718.83","      10980","             7892702.10","       1110","       7276","         66.27"
"GUJGASLTD","EQ","17-Sep-2018","        715.10","        716.00","        733.00","        710.15","        722.95","        722.25","        720.82","      13801","             9948034.85","       1851","       9040","         65.50"
