"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUPREMEIND","EQ","16-Jul-2018","       1182.45","       1182.45","       1196.20","       1162.60","       1170.10","       1178.95","       1170.93","      48263","            56512456.45","       1959","      39947","         82.77"
"SUPREMEIND","EQ","17-Jul-2018","       1178.95","       1171.00","       1196.75","       1170.00","       1195.90","       1192.40","       1185.20","      13138","            15571151.65","       1500","       8355","         63.59"
"SUPREMEIND","EQ","18-Jul-2018","       1192.40","       1203.00","       1203.00","       1164.05","       1185.00","       1188.45","       1177.54","      12775","            15043130.30","       1484","       6686","         52.34"
"SUPREMEIND","EQ","19-Jul-2018","       1188.45","       1171.00","       1187.40","       1154.00","       1173.00","       1178.35","       1166.89","      25332","            29559749.75","       2021","      13333","         52.63"
"SUPREMEIND","EQ","20-Jul-2018","       1178.35","       1163.00","       1218.60","       1163.00","       1210.00","       1208.40","       1188.39","      45698","            54307125.85","       2940","      30035","         65.72"
"SUPREMEIND","EQ","23-Jul-2018","       1208.40","       1240.00","       1240.00","       1198.05","       1222.00","       1217.70","       1215.97","      21915","            26647925.85","       4024","      13072","         59.65"
"SUPREMEIND","EQ","24-Jul-2018","       1217.70","       1214.10","       1235.00","       1192.65","       1211.55","       1220.65","       1216.03","      14797","            17993650.85","       3358","       8523","         57.60"
"SUPREMEIND","EQ","25-Jul-2018","       1220.65","       1220.65","       1226.95","       1205.00","       1205.00","       1206.50","       1212.23","       7080","             8582597.50","        777","       4280","         60.45"
"SUPREMEIND","EQ","26-Jul-2018","       1206.50","       1206.85","       1220.10","       1182.50","       1200.00","       1199.25","       1201.68","      29605","            35575875.90","       4000","      16729","         56.51"
"SUPREMEIND","EQ","27-Jul-2018","       1199.25","       1200.00","       1220.00","       1190.55","       1210.00","       1200.60","       1198.43","       6701","             8030649.20","        789","       3350","         49.99"
"SUPREMEIND","EQ","30-Jul-2018","       1200.60","       1230.00","       1230.00","       1182.15","       1186.00","       1187.35","       1201.09","      12318","            14795061.10","       2137","       7045","         57.19"
