"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATACOMM","EQ","16-Jul-2018","        601.15","        600.00","        600.00","        558.05","        558.35","        563.60","        575.66","     395401","           227616601.75","       8092","     215552","         54.51"
"TATACOMM","EQ","17-Jul-2018","        563.60","        562.95","        575.85","        557.60","        565.65","        567.45","        566.88","     174695","            99031845.45","       5152","      34782","         19.91"
"TATACOMM","EQ","18-Jul-2018","        567.45","        569.00","        570.90","        534.50","        545.90","        546.50","        546.24","     328156","           179250853.40","       7379","      76701","         23.37"
"TATACOMM","EQ","19-Jul-2018","        546.50","        545.95","        556.75","        540.85","        549.90","        549.00","        547.45","     208168","           113960723.25","       4534","      69345","         33.31"
"TATACOMM","EQ","20-Jul-2018","        549.00","        547.00","        556.75","        545.00","        551.55","        552.85","        549.39","     461396","           253484242.25","       4637","     316020","         68.49"
"TATACOMM","EQ","23-Jul-2018","        552.85","        552.85","        567.85","        545.55","        563.00","        566.35","        557.77","     165930","            92549975.05","       3566","      17221","         10.38"
"TATACOMM","EQ","24-Jul-2018","        566.35","        569.00","        595.10","        562.90","        583.20","        587.70","        581.41","     308131","           179149383.60","       7349","      46578","         15.12"
"TATACOMM","EQ","25-Jul-2018","        587.70","        587.70","        593.50","        574.00","        575.05","        577.65","        582.20","     216332","           125948715.35","       5479","      41622","         19.24"
"TATACOMM","EQ","26-Jul-2018","        577.65","        578.00","        588.00","        567.55","        574.00","        570.60","        576.59","     160298","            92426047.70","       3950","      44227","         27.59"
"TATACOMM","EQ","27-Jul-2018","        570.60","        574.85","        581.55","        566.40","        569.50","        568.45","        573.35","     146048","            83736816.20","       5984","      34840","         23.86"
"TATACOMM","EQ","30-Jul-2018","        568.45","        570.05","        582.55","        568.50","        581.85","        578.10","        575.41","     258526","           148757675.10","       6083","      58427","         22.60"
"TATACOMM","EQ","31-Jul-2018","        578.10","        579.95","        595.00","        576.00","        578.40","        578.60","        584.22","     328358","           191833991.90","       7781","      49530","         15.08"
"TATACOMM","EQ","01-Aug-2018","        578.60","        576.00","        598.20","        570.60","        588.50","        590.30","        588.67","     460944","           271342399.25","       8131","      72863","         15.81"
"TATACOMM","EQ","02-Aug-2018","        590.30","        590.30","        596.30","        581.70","        584.55","        587.20","        589.90","     272952","           161015210.20","       7921","      30069","         11.02"
"TATACOMM","EQ","03-Aug-2018","        587.20","        585.90","        603.10","        584.65","        588.80","        586.65","        593.94","     373194","           221655043.55","       6994","      37790","         10.13"
"TATACOMM","EQ","06-Aug-2018","        586.65","        586.25","        597.80","        579.15","        580.00","        581.20","        587.27","     211560","           124243241.10","       6083","      45324","         21.42"
"TATACOMM","EQ","07-Aug-2018","        581.20","        582.90","        584.65","        572.95","        583.90","        581.50","        578.84","     212668","           123100983.10","       5795","      34191","         16.08"
"TATACOMM","EQ","08-Aug-2018","        581.50","        584.45","        592.00","        576.00","        583.05","        581.80","        586.15","     255271","           149627170.45","       5930","      23212","          9.09"
"TATACOMM","EQ","09-Aug-2018","        581.80","        582.10","        600.00","        576.50","        590.00","        590.50","        587.36","     266800","           156706600.45","       6205","      42775","         16.03"
"TATACOMM","EQ","10-Aug-2018","        590.50","        585.55","        588.70","        551.20","        567.50","        568.60","        566.26","    1022292","           578885514.20","      17736","     107769","         10.54"
"TATACOMM","EQ","13-Aug-2018","        568.60","        568.80","        568.80","        554.55","        559.40","        559.30","        559.73","     180486","           101023652.35","       4630","      18873","         10.46"
"TATACOMM","EQ","14-Aug-2018","        559.30","        558.90","        572.00","        553.35","        570.40","        565.65","        558.80","     271117","           151500135.85","       7705","     113543","         41.88"
"TATACOMM","EQ","16-Aug-2018","        565.65","        568.90","        568.90","        555.30","        558.00","        558.05","        560.69","     246432","           138171114.75","       6132","      97347","         39.50"
"TATACOMM","EQ","17-Aug-2018","        558.05","        560.80","        564.05","        550.10","        557.00","        553.85","        555.85","     175311","            97446569.55","       5158","      46201","         26.35"
"TATACOMM","EQ","20-Aug-2018","        553.85","        556.25","        563.15","        547.00","        551.20","        551.80","        553.07","     237281","           131232993.15","       6305","      41631","         17.55"
"TATACOMM","EQ","21-Aug-2018","        551.80","        551.00","        558.55","        547.55","        548.75","        549.85","        551.84","     154980","            85523680.15","       3946","      52130","         33.64"
"TATACOMM","EQ","23-Aug-2018","        549.85","        548.90","        556.85","        543.35","        549.25","        549.20","        548.51","     136242","            74730183.90","       4140","      23006","         16.89"
"TATACOMM","EQ","24-Aug-2018","        549.20","        549.30","        550.00","        539.35","        544.00","        542.50","        542.82","     186949","           101479506.25","       3377","      33617","         17.98"
"TATACOMM","EQ","27-Aug-2018","        542.50","        543.70","        554.45","        543.70","        551.40","        551.30","        550.26","     261706","           144006327.60","       5481","      76824","         29.36"
"TATACOMM","EQ","28-Aug-2018","        551.30","        553.00","        556.15","        542.65","        545.00","        547.60","        549.31","     313622","           172275854.15","       6483","      52961","         16.89"
"TATACOMM","EQ","29-Aug-2018","        547.60","        545.00","        552.00","        542.75","        547.95","        548.85","        548.94","     144131","            79118723.65","       2816","      45349","         31.46"
"TATACOMM","EQ","30-Aug-2018","        548.85","        550.00","        563.55","        546.00","        562.05","        559.45","        554.60","     588974","           326644796.85","      10174","     269800","         45.81"
"TATACOMM","EQ","31-Aug-2018","        559.45","        560.00","        565.00","        536.60","        540.00","        540.00","        545.78","     448930","           245018667.80","       7907","      90292","         20.11"
"TATACOMM","EQ","03-Sep-2018","        540.00","        544.00","        545.70","        528.05","        531.80","        531.70","        538.85","     237801","           128138807.55","       4569","      56714","         23.85"
"TATACOMM","EQ","04-Sep-2018","        531.70","        531.80","        534.85","        515.80","        518.05","        518.85","        519.81","     708695","           368386852.45","       4516","     542543","         76.56"
"TATACOMM","EQ","05-Sep-2018","        518.85","        515.00","        520.90","        505.00","        511.00","        513.40","        511.90","     576067","           294888707.05","      10265","      54189","          9.41"
"TATACOMM","EQ","06-Sep-2018","        513.40","        511.00","        519.60","        506.65","        518.50","        517.05","        512.83","     376049","           192848776.85","       8808","      82249","         21.87"
"TATACOMM","EQ","07-Sep-2018","        517.05","        520.55","        533.30","        513.00","        527.45","        527.45","        526.53","     595395","           313495816.60","      14812","     118757","         19.95"
"TATACOMM","EQ","10-Sep-2018","        527.45","        528.25","        532.80","        518.30","        524.05","        525.65","        525.70","     245622","           129123317.40","       9968","      77608","         31.60"
"TATACOMM","EQ","11-Sep-2018","        525.65","        524.05","        543.50","        520.35","        521.10","        522.75","        534.26","     561952","           300225963.40","      13778","     155618","         27.69"
"TATACOMM","EQ","12-Sep-2018","        522.75","        522.75","        526.15","        510.10","        525.40","        524.45","        517.69","     298267","           154408705.35","      10521","      60146","         20.17"
"TATACOMM","EQ","14-Sep-2018","        524.45","        524.45","        530.00","        521.30","        528.60","        526.30","        525.31","     166267","            87341348.80","       4186","      43268","         26.02"
"TATACOMM","EQ","17-Sep-2018","        526.30","        526.25","        529.00","        514.50","        523.25","        522.75","        521.75","     219995","           114782540.35","       5583","      47065","         21.39"
"TATACOMM","EQ","18-Sep-2018","        522.75","        520.10","        528.40","        514.50","        523.65","        517.00","        519.73","     257658","           133913421.55","       6276","      53782","         20.87"
"TATACOMM","EQ","19-Sep-2018","        517.00","        524.50","        525.45","        514.20","        517.90","        519.20","        519.20","     235376","           122206819.05","       7090","      59355","         25.22"
"TATACOMM","EQ","21-Sep-2018","        519.20","        521.25","        522.25","        490.25","        498.45","        499.75","        504.78","     566004","           285704716.80","      15002","     265531","         46.91"
"TATACOMM","EQ","24-Sep-2018","        499.75","        500.00","        508.90","        494.40","        508.30","        503.45","        501.27","     313435","           157115247.25","       7301","     107093","         34.17"
"TATACOMM","EQ","25-Sep-2018","        503.45","        504.00","        513.00","        496.75","        501.95","        502.90","        504.51","     370713","           187028422.25","       8306","     134399","         36.25"
"TATACOMM","EQ","26-Sep-2018","        502.90","        504.00","        517.10","        500.50","        514.90","        510.30","        507.26","     370593","           187986162.10","      12867","     141956","         38.31"
"TATACOMM","EQ","27-Sep-2018","        510.30","        514.00","        515.90","        503.50","        504.00","        504.80","        506.72","     230007","           116548893.00","       4937","      63029","         27.40"
