"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAGLOBAL","EQ","16-Jul-2018","        258.90","        257.90","        257.90","        242.10","        243.90","        243.25","        247.96","    3454849","           856675274.90","      32198","    1312529","         37.99"
"TATAGLOBAL","EQ","17-Jul-2018","        243.25","        241.55","        251.85","        240.30","        247.50","        247.90","        246.83","    3158004","           779477115.70","      35824","    1051849","         33.31"
"TATAGLOBAL","EQ","18-Jul-2018","        247.90","        248.40","        249.60","        232.70","        238.10","        238.65","        239.90","    3343525","           802121921.60","      30564","    1013114","         30.30"
"TATAGLOBAL","EQ","19-Jul-2018","        238.65","        239.70","        243.30","        228.60","        232.50","        233.10","        235.22","    4223216","           993405983.50","      38589","    1050215","         24.87"
"TATAGLOBAL","EQ","20-Jul-2018","        233.10","        231.25","        240.95","        231.25","        238.90","        238.60","        237.86","    3003282","           714347449.25","      21592","     719860","         23.97"
"TATAGLOBAL","EQ","23-Jul-2018","        238.60","        238.90","        244.25","        235.25","        243.05","        243.30","        240.05","    2351769","           564547886.70","      18330","     392924","         16.71"
"TATAGLOBAL","EQ","24-Jul-2018","        243.30","        244.00","        249.20","        241.90","        246.30","        246.30","        246.10","    2278457","           560730385.55","      21429","     506875","         22.25"
"TATAGLOBAL","EQ","25-Jul-2018","        246.30","        248.50","        248.50","        235.80","        236.05","        236.90","        242.23","    2310430","           559644466.30","      16499","     854783","         37.00"
"TATAGLOBAL","EQ","26-Jul-2018","        236.90","        235.90","        242.95","        234.50","        239.50","        239.10","        239.31","    3996921","           956509567.90","      22638","    1834556","         45.90"
"TATAGLOBAL","EQ","27-Jul-2018","        239.10","        241.00","        243.95","        239.15","        242.50","        242.25","        241.59","    1581985","           382196733.70","      14280","     463659","         29.31"
"TATAGLOBAL","EQ","30-Jul-2018","        242.25","        243.70","        247.00","        240.90","        243.65","        242.20","        243.34","    1867720","           454483493.30","      19276","     360655","         19.31"
"TATAGLOBAL","EQ","31-Jul-2018","        242.20","        243.40","        249.65","        241.50","        247.10","        246.90","        246.87","    4422342","          1091734425.55","      30014","    1071909","         24.24"
"TATAGLOBAL","EQ","01-Aug-2018","        246.90","        248.70","        254.95","        234.35","        235.10","        235.65","        243.55","   13272609","          3232556229.80","     103740","    2458715","         18.52"
"TATAGLOBAL","EQ","02-Aug-2018","        235.65","        232.50","        238.05","        230.40","        235.00","        235.45","        233.80","    5700851","          1332852103.00","      52892","    1281453","         22.48"
"TATAGLOBAL","EQ","03-Aug-2018","        235.45","        236.00","        239.00","        232.00","        235.20","        234.65","        235.06","    3357945","           789332384.80","      23584","     875911","         26.08"
"TATAGLOBAL","EQ","06-Aug-2018","        234.65","        235.15","        240.45","        234.15","        240.00","        239.50","        237.48","    2560616","           608086815.40","      24694","     748825","         29.24"
"TATAGLOBAL","EQ","07-Aug-2018","        239.50","        241.00","        241.55","        235.30","        237.50","        237.60","        238.22","    1963538","           467757767.25","      17942","     392885","         20.01"
"TATAGLOBAL","EQ","08-Aug-2018","        237.60","        237.25","        240.50","        235.05","        236.35","        236.35","        238.22","    1807313","           430539171.60","      23078","     537875","         29.76"
"TATAGLOBAL","EQ","09-Aug-2018","        236.35","        236.65","        239.85","        235.30","        237.25","        237.30","        237.45","    1127248","           267663232.15","      11397","     286126","         25.38"
"TATAGLOBAL","EQ","10-Aug-2018","        237.30","        237.30","        237.95","        231.10","        233.65","        233.55","        233.71","    2035594","           475748185.35","      18397","     798422","         39.22"
"TATAGLOBAL","EQ","13-Aug-2018","        233.55","        233.00","        236.45","        232.25","        235.20","        234.55","        234.71","    1948583","           457356755.35","      15245","    1016683","         52.18"
"TATAGLOBAL","EQ","14-Aug-2018","        234.55","        235.00","        238.50","        235.00","        237.40","        237.55","        236.57","    1885288","           445995955.00","      16895","     857957","         45.51"
"TATAGLOBAL","EQ","16-Aug-2018","        237.55","        236.05","        242.00","        235.95","        240.35","        239.35","        239.34","    2551480","           610680946.85","      20989","    1036774","         40.63"
"TATAGLOBAL","EQ","17-Aug-2018","        239.35","        240.80","        244.50","        239.20","        242.70","        243.00","        242.60","    2838238","           688551623.65","      28267","    1069789","         37.69"
"TATAGLOBAL","EQ","20-Aug-2018","        243.00","        244.00","        247.00","        243.00","        244.70","        245.15","        245.05","    1690225","           414183389.75","      11880","     612503","         36.24"
"TATAGLOBAL","EQ","21-Aug-2018","        245.15","        246.90","        246.90","        239.25","        240.90","        240.55","        242.71","    3272005","           794140113.25","      18557","    1877968","         57.40"
"TATAGLOBAL","EQ","23-Aug-2018","        240.55","        240.30","        240.60","        233.10","        235.50","        235.45","        235.68","    1553953","           366236005.75","      31900","     409729","         26.37"
"TATAGLOBAL","EQ","24-Aug-2018","        235.45","        234.50","        237.20","        230.20","        231.50","        231.00","        233.32","    1838417","           428935097.45","      19957","     842532","         45.83"
"TATAGLOBAL","EQ","27-Aug-2018","        231.00","        231.80","        239.35","        231.05","        236.80","        237.05","        235.67","    1990020","           468993511.95","      16372","     551607","         27.72"
