"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UBL","EQ","16-Jul-2018","       1193.95","       1195.00","       1203.00","       1138.00","       1143.80","       1146.75","       1173.51","     400547","           470047192.50","      19204","     152423","         38.05"
"UBL","EQ","17-Jul-2018","       1146.75","       1153.00","       1187.75","       1146.75","       1165.70","       1168.00","       1172.85","     396082","           464542994.10","      14413","     116096","         29.31"
"UBL","EQ","18-Jul-2018","       1168.00","       1173.70","       1175.10","       1101.20","       1105.90","       1109.70","       1129.05","     654916","           739434071.20","      29436","     112988","         17.25"
"UBL","EQ","19-Jul-2018","       1109.70","       1109.70","       1131.45","       1031.80","       1115.65","       1120.65","       1084.09","    1297769","          1406892043.85","      50230","     189658","         14.61"
"UBL","EQ","20-Jul-2018","       1120.65","       1115.05","       1123.95","       1065.20","       1071.00","       1070.90","       1091.80","     774568","           845676464.70","      41347","     221624","         28.61"
"UBL","EQ","23-Jul-2018","       1070.90","       1074.00","       1090.25","       1050.00","       1064.40","       1071.45","       1065.76","     370161","           394504426.30","      13282","      71799","         19.40"
"UBL","EQ","24-Jul-2018","       1071.45","       1067.95","       1115.00","       1051.75","       1106.00","       1107.10","       1092.21","     507022","           553775365.40","      19816","      93341","         18.41"
"UBL","EQ","25-Jul-2018","       1107.10","       1113.00","       1124.00","       1090.10","       1098.00","       1110.55","       1110.62","     274334","           304681796.80","      13748","      27151","          9.90"
"UBL","EQ","26-Jul-2018","       1110.55","       1103.80","       1109.95","       1084.00","       1095.00","       1094.80","       1092.35","     543359","           593536071.80","      12833","     267239","         49.18"
"UBL","EQ","27-Jul-2018","       1094.80","       1101.40","       1124.80","       1094.75","       1123.75","       1117.00","       1113.01","     438065","           487568901.00","      18079","     137492","         31.39"
"UBL","EQ","30-Jul-2018","       1117.00","       1116.00","       1125.00","       1103.00","       1124.00","       1119.35","       1115.55","     310234","           346083001.35","      11766","      82038","         26.44"
"UBL","EQ","31-Jul-2018","       1119.35","       1128.90","       1141.00","       1057.30","       1105.00","       1090.85","       1111.12","     906218","          1006913909.60","      29497","     239988","         26.48"
"UBL","EQ","01-Aug-2018","       1090.85","       1103.50","       1125.00","       1091.20","       1115.30","       1116.95","       1109.05","     699538","           775825991.50","      20422","      84964","         12.15"
"UBL","EQ","02-Aug-2018","       1116.95","       1114.75","       1116.40","       1096.75","       1100.00","       1100.50","       1103.69","     438661","           484146357.60","      16968","     190053","         43.33"
