"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CANFINHOME","EQ","16-Jul-2018","        330.00","        331.00","        338.00","        320.00","        323.00","        324.20","        326.80","     903578","           295290794.90","      12658","      91324","         10.11"
"CANFINHOME","EQ","17-Jul-2018","        324.20","        323.30","        335.00","        321.00","        331.00","        331.15","        329.18","     629049","           207069465.45","       9677","      98763","         15.70"
"CANFINHOME","EQ","18-Jul-2018","        331.15","        332.55","        336.80","        323.75","        330.05","        329.65","        329.82","     435531","           143645046.65","       7532","      89589","         20.57"
"CANFINHOME","EQ","19-Jul-2018","        329.65","        330.70","        336.30","        324.70","        328.00","        328.05","        330.54","     345136","           114080631.70","       5922","      67819","         19.65"
"CANFINHOME","EQ","20-Jul-2018","        328.05","        328.50","        330.50","        324.40","        325.10","        325.80","        326.92","     342316","           111910657.45","       6064","      82622","         24.14"
"CANFINHOME","EQ","23-Jul-2018","        325.80","        328.00","        332.00","        320.10","        330.70","        330.90","        326.33","     531124","           173319137.55","       8123","     104594","         19.69"
"CANFINHOME","EQ","24-Jul-2018","        330.90","        331.50","        348.00","        328.35","        346.55","        345.30","        342.33","     801325","           274318574.30","      13886","     191859","         23.94"
"CANFINHOME","EQ","25-Jul-2018","        345.30","        345.30","        360.00","        345.30","        355.05","        355.70","        353.53","     975818","           344982635.25","      17749","     199930","         20.49"
"CANFINHOME","EQ","26-Jul-2018","        355.70","        360.00","        360.45","        349.40","        351.85","        352.70","        355.36","     773683","           274934187.00","      13116","     244228","         31.57"
"CANFINHOME","EQ","27-Jul-2018","        352.70","        354.80","        371.95","        354.80","        367.85","        369.15","        366.94","    1288015","           472617972.40","      22134","     246554","         19.14"
"CANFINHOME","EQ","30-Jul-2018","        369.15","        369.50","        377.00","        355.50","        365.50","        363.65","        368.64","    1940010","           715173323.35","      30509","     297617","         15.34"
"CANFINHOME","EQ","31-Jul-2018","        363.65","        352.00","        358.00","        328.90","        334.55","        334.65","        337.81","    3877856","          1309979982.05","      47758","     687457","         17.73"
"CANFINHOME","EQ","01-Aug-2018","        334.65","        334.00","        336.90","        329.15","        331.20","        331.95","        332.13","     867516","           288127458.45","      13070","     190229","         21.93"
"CANFINHOME","EQ","02-Aug-2018","        331.95","        331.00","        336.35","        329.70","        332.00","        332.05","        333.53","     552662","           184330280.00","       8078","     115113","         20.83"
"CANFINHOME","EQ","03-Aug-2018","        332.05","        333.45","        341.00","        333.45","        335.30","        335.50","        337.73","     744285","           251366780.10","       9715","     188152","         25.28"
"CANFINHOME","EQ","06-Aug-2018","        335.50","        338.00","        342.90","        331.50","        331.95","        333.05","        336.85","     825602","           278103993.05","      11963","     226996","         27.49"
"CANFINHOME","EQ","07-Aug-2018","        333.05","        334.05","        335.50","        328.30","        329.85","        330.10","        331.15","     509705","           168788164.65","       8633","     145932","         28.63"
