"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DBCORP","EQ","16-Jul-2018","        283.85","        283.00","        284.00","        273.50","        276.00","        275.10","        276.78","     490046","           135634587.60","      13718","     394359","         80.47"
"DBCORP","EQ","17-Jul-2018","        275.10","        248.10","        259.40","        245.05","        255.00","        253.90","        253.12","     357278","            90435364.20","       9336","     102111","         28.58"
"DBCORP","EQ","18-Jul-2018","        253.90","        253.10","        258.30","        253.00","        253.00","        253.70","        256.20","     163627","            41921745.05","       1855","     133373","         81.51"
"DBCORP","EQ","19-Jul-2018","        253.70","        253.00","        268.40","        252.00","        265.55","        266.15","        259.22","     543127","           140791914.85","      12032","      74620","         13.74"
"DBCORP","EQ","20-Jul-2018","        266.15","        263.00","        266.00","        255.90","        264.70","        263.25","        261.23","      72367","            18904216.50","       2715","      20419","         28.22"
"DBCORP","EQ","23-Jul-2018","        263.25","        260.25","        264.90","        260.25","        262.00","        262.70","        262.40","      15077","             3956150.75","       2248","      10573","         70.13"
"DBCORP","EQ","24-Jul-2018","        262.70","        262.75","        266.00","        261.00","        262.00","        263.45","        264.03","      19472","             5141227.20","        771","      10386","         53.34"
"DBCORP","EQ","25-Jul-2018","        263.45","        266.00","        268.65","        262.75","        268.00","        267.35","        265.58","      26497","             7037000.35","       1189","      14666","         55.35"
"DBCORP","EQ","26-Jul-2018","        267.35","        268.00","        268.00","        257.10","        259.00","        258.05","        261.14","     229138","            59836266.50","       2307","     218931","         95.55"
"DBCORP","EQ","27-Jul-2018","        258.05","        260.00","        260.00","        248.60","        250.00","        249.75","        252.86","      78137","            19757756.00","       4911","      47873","         61.27"
"DBCORP","EQ","30-Jul-2018","        249.75","        250.10","        253.75","        244.00","        245.60","        245.95","        247.69","      63482","            15723948.60","       3545","      35928","         56.60"
"DBCORP","EQ","31-Jul-2018","        245.95","        246.00","        246.00","        233.60","        234.90","        235.50","        238.37","     279272","            66569261.75","       6551","     101882","         36.48"
"DBCORP","EQ","01-Aug-2018","        235.50","        237.50","        238.50","        235.50","        237.50","        237.00","        236.97","     351618","            83324338.90","       4911","     318560","         90.60"
"DBCORP","EQ","02-Aug-2018","        237.00","        239.00","        239.00","        234.05","        234.90","        234.90","        235.45","      39883","             9390265.25","       2725","      22699","         56.91"
"DBCORP","EQ","03-Aug-2018","        234.90","        239.40","        240.00","        234.10","        235.35","        235.20","        236.76","     115190","            27272556.60","       4551","      70837","         61.50"
"DBCORP","EQ","06-Aug-2018","        235.20","        237.80","        239.95","        232.00","        235.55","        235.20","        235.15","      48942","            11508733.45","       3264","      30893","         63.12"
"DBCORP","EQ","07-Aug-2018","        235.20","        238.00","        243.50","        235.30","        242.90","        242.85","        240.65","      88966","            21409958.65","       3561","      43963","         49.42"
"DBCORP","EQ","08-Aug-2018","        242.85","        244.70","        249.50","        244.00","        249.00","        247.70","        247.23","      82977","            20514034.60","       1289","      43281","         52.16"
"DBCORP","EQ","09-Aug-2018","        247.70","        248.00","        249.60","        245.00","        247.50","        248.35","        246.76","      29565","             7295458.45","        646","      17378","         58.78"
"DBCORP","EQ","10-Aug-2018","        248.35","        247.50","        266.70","        245.45","        252.65","        254.65","        256.88","     235478","            60489816.85","       4231","      49514","         21.03"
"DBCORP","EQ","13-Aug-2018","        254.65","        252.60","        254.00","        244.20","        245.90","        246.35","        248.76","      62076","            15442116.65","       1308","      31858","         51.32"
"DBCORP","EQ","14-Aug-2018","        246.35","        248.35","        252.00","        245.00","        245.20","        246.25","        248.06","      48519","            12035408.05","       1039","      30452","         62.76"
"DBCORP","EQ","16-Aug-2018","        246.25","        243.00","        248.25","        243.00","        247.50","        246.50","        246.27","      42842","            10550816.25","       1274","      23337","         54.47"
"DBCORP","EQ","17-Aug-2018","        246.50","        249.90","        251.50","        246.35","        249.05","        249.70","        250.12","      42961","            10745522.85","        550","      25579","         59.54"
"DBCORP","EQ","20-Aug-2018","        249.70","        249.70","        251.90","        249.10","        251.90","        251.50","        250.97","      24936","             6258252.55","        347","      13091","         52.50"
