"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PGHH","EQ","16-Jul-2018","      10155.15","      10101.05","      10200.00","      10021.50","      10100.05","      10104.05","      10113.54","       2721","            27518930.25","        848","       2113","         77.66"
"PGHH","EQ","17-Jul-2018","      10104.05","      10050.85","      11337.00","      10001.00","      10380.20","      10452.50","      10553.97","       8435","            89022777.05","       2565","       3682","         43.65"
"PGHH","EQ","18-Jul-2018","      10452.50","      10460.00","      10739.95","      10150.00","      10401.35","      10392.85","      10450.25","       3552","            37119278.15","       1941","       2086","         58.73"
"PGHH","EQ","19-Jul-2018","      10392.85","      10392.00","      10449.95","      10220.65","      10276.10","      10337.20","      10343.93","       3839","            39710342.30","        539","       3316","         86.38"
"PGHH","EQ","20-Jul-2018","      10337.20","      10448.30","      10577.00","      10255.55","      10301.00","      10428.95","      10412.56","       1356","            14119436.10","        759","        631","         46.53"
"PGHH","EQ","23-Jul-2018","      10428.95","      10543.70","      11000.00","      10303.00","      10500.00","      10527.95","      10709.21","       5347","            57262148.20","       1940","       2032","         38.00"
"PGHH","EQ","24-Jul-2018","      10527.95","      10599.00","      10710.00","      10364.05","      10575.00","      10534.25","      10549.25","       2094","            22090122.05","        834","       1196","         57.12"
"PGHH","EQ","25-Jul-2018","      10534.25","      10627.85","      10677.00","      10524.90","      10535.00","      10560.90","      10600.16","       1788","            18953082.15","        500","       1291","         72.20"
"PGHH","EQ","26-Jul-2018","      10560.90","      10680.00","      10699.95","      10500.00","      10540.05","      10566.05","      10573.40","        621","             6566082.00","        356","        323","         52.01"
"PGHH","EQ","27-Jul-2018","      10566.05","      10566.05","      10699.95","      10450.05","      10530.00","      10556.60","      10574.38","       1234","            13048783.25","        514","        844","         68.40"
"PGHH","EQ","30-Jul-2018","      10556.60","      10560.00","      10625.15","      10430.65","      10500.00","      10499.55","      10500.23","       5301","            55661733.55","        932","       4824","         91.00"
"PGHH","EQ","31-Jul-2018","      10499.55","      10489.70","      10499.00","      10301.00","      10350.00","      10339.00","      10404.62","       1422","            14795364.40","        581","       1023","         71.94"
"PGHH","EQ","01-Aug-2018","      10339.00","      10436.15","      10447.95","      10070.00","      10230.00","      10121.10","      10222.81","       7657","            78276077.55","       1590","       6666","         87.06"
"PGHH","EQ","02-Aug-2018","      10121.10","      10303.65","      10364.70","      10125.05","      10350.00","      10279.85","      10261.93","       5950","            61058460.20","        889","       5096","         85.65"
"PGHH","EQ","03-Aug-2018","      10279.85","      10280.00","      10509.00","      10280.00","      10410.10","      10414.25","      10432.13","       2862","            29856760.50","        899","       2245","         78.44"
"PGHH","EQ","06-Aug-2018","      10414.25","      10622.50","      10800.00","      10500.00","      10725.00","      10730.10","      10659.46","       2202","            23472123.25","        826","       1614","         73.30"
"PGHH","EQ","07-Aug-2018","      10730.10","      10728.90","      10810.00","      10551.00","      10760.00","      10793.90","      10767.57","       2022","            21772036.00","        752","       1494","         73.89"
"PGHH","EQ","08-Aug-2018","      10793.90","      10793.90","      10979.60","      10582.30","      10600.00","      10625.30","      10691.93","       5576","            59618188.50","       1195","       4309","         77.28"
"PGHH","EQ","09-Aug-2018","      10625.30","      10704.95","      10749.70","      10400.00","      10500.00","      10486.90","      10501.19","       9293","            97587561.20","       1608","       7610","         81.89"
"PGHH","EQ","10-Aug-2018","      10486.90","      10486.85","      10800.00","      10470.00","      10560.30","      10675.70","      10557.53","       2379","            25116375.10","        771","       1883","         79.15"
"PGHH","EQ","13-Aug-2018","      10675.70","      10750.00","      10860.00","      10512.20","      10800.00","      10798.10","      10783.35","       2789","            30074767.55","       1217","       1909","         68.45"
"PGHH","EQ","14-Aug-2018","      10798.10","      10629.35","      10849.00","      10629.35","      10800.00","      10797.95","      10785.48","       3041","            32798658.50","        534","       2126","         69.91"
"PGHH","EQ","16-Aug-2018","      10797.95","      10850.00","      10850.00","      10336.05","      10510.00","      10571.85","      10678.68","       3271","            34929950.95","       1160","       2340","         71.54"
