"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAMCOSYS","EQ","16-Jul-2018","        360.90","        361.75","        361.75","        334.30","        338.00","        338.05","        343.75","      23098","             7940013.70","        969","      10853","         46.99"
"RAMCOSYS","EQ","17-Jul-2018","        338.05","        335.00","        347.00","        332.95","        335.25","        335.50","        338.22","      27835","             9414383.40","        872","      11996","         43.10"
"RAMCOSYS","EQ","18-Jul-2018","        335.50","        340.00","        346.50","        336.00","        346.50","        344.50","        343.20","      28219","             9684701.20","        642","      19616","         69.51"
"RAMCOSYS","EQ","19-Jul-2018","        344.50","        350.00","        351.55","        340.10","        345.40","        343.85","        344.09","      12435","             4278796.45","        810","       7690","         61.84"
"RAMCOSYS","EQ","20-Jul-2018","        343.85","        345.55","        351.45","        338.20","        345.00","        344.85","        344.91","      35122","            12114027.70","        951","      27136","         77.26"
"RAMCOSYS","EQ","23-Jul-2018","        344.85","        351.95","        356.75","        343.45","        349.00","        347.10","        348.41","      14201","             4947765.65","        569","       8055","         56.72"
"RAMCOSYS","EQ","24-Jul-2018","        347.10","        353.00","        365.00","        347.35","        359.00","        360.00","        359.54","      28966","            10414396.55","        761","      12656","         43.69"
"RAMCOSYS","EQ","25-Jul-2018","        360.00","        363.50","        376.90","        353.10","        357.95","        358.45","        367.03","      54769","            20102040.50","       1989","      13261","         24.21"
"RAMCOSYS","EQ","26-Jul-2018","        358.45","        361.35","        367.50","        360.05","        360.30","        361.20","        363.72","      11841","             4306838.10","        392","       7214","         60.92"
"RAMCOSYS","EQ","27-Jul-2018","        361.20","        362.00","        364.80","        357.00","        359.00","        358.95","        360.38","       9696","             3494262.65","        331","       5827","         60.10"
"RAMCOSYS","EQ","30-Jul-2018","        358.95","        360.00","        365.80","        360.00","        362.50","        361.60","        362.62","       8984","             3257789.85","        392","       4208","         46.84"
"RAMCOSYS","EQ","31-Jul-2018","        361.60","        362.40","        366.25","        360.50","        363.90","        362.30","        363.01","       8682","             3151625.40","        324","       5555","         63.98"
"RAMCOSYS","EQ","01-Aug-2018","        362.30","        365.90","        369.45","        363.05","        364.25","        364.95","        365.91","      14053","             5142099.05","        487","       8484","         60.37"
"RAMCOSYS","EQ","02-Aug-2018","        364.95","        369.85","        385.00","        368.45","        380.00","        382.15","        378.24","      63369","            23968411.55","       2125","      28228","         44.55"
"RAMCOSYS","EQ","03-Aug-2018","        382.15","        388.00","        411.90","        387.05","        400.85","        401.85","        402.29","     126368","            50837065.95","       4346","      53787","         42.56"
"RAMCOSYS","EQ","06-Aug-2018","        401.85","        402.05","        407.75","        398.00","        399.20","        399.65","        402.61","      29791","            11994278.40","       1075","      16175","         54.29"
"RAMCOSYS","EQ","07-Aug-2018","        399.65","        406.70","        406.70","        376.60","        386.50","        383.65","        387.35","      35972","            13933591.60","       1204","      19818","         55.09"
"RAMCOSYS","EQ","08-Aug-2018","        383.65","        382.00","        397.30","        375.25","        379.30","        377.60","        386.15","      24655","             9520531.30","        851","      15961","         64.74"
"RAMCOSYS","EQ","09-Aug-2018","        377.60","        379.90","        407.70","        379.90","        381.80","        382.65","        395.30","     139267","            55052370.00","       3836","      29835","         21.42"
"RAMCOSYS","EQ","10-Aug-2018","        382.65","        385.00","        396.90","        383.05","        384.60","        385.60","        388.51","      32963","            12806595.30","       1469","      16211","         49.18"
"RAMCOSYS","EQ","13-Aug-2018","        385.60","        380.45","        388.00","        375.05","        385.00","        381.60","        380.42","      16780","             6383430.10","        904","       7943","         47.34"
"RAMCOSYS","EQ","14-Aug-2018","        381.60","        383.05","        390.00","        379.55","        382.20","        381.55","        383.87","      21739","             8345041.05","        844","      10583","         48.68"
"RAMCOSYS","EQ","16-Aug-2018","        381.55","        380.05","        392.55","        377.00","        379.90","        379.60","        381.85","      28254","            10788761.90","        953","      11710","         41.45"
"RAMCOSYS","EQ","17-Aug-2018","        379.60","        384.00","        386.75","        378.20","        379.05","        380.00","        382.59","      14741","             5639769.25","        452","       9800","         66.48"
"RAMCOSYS","EQ","20-Aug-2018","        380.00","        377.10","        389.65","        375.15","        377.10","        376.10","        380.00","      24298","             9233166.45","        844","      13180","         54.24"
"RAMCOSYS","EQ","21-Aug-2018","        376.10","        378.80","        382.00","        363.65","        374.95","        369.15","        373.06","      38653","            14419740.90","       1075","      21569","         55.80"
"RAMCOSYS","EQ","23-Aug-2018","        369.15","        373.60","        378.40","        369.00","        370.00","        370.35","        372.46","      11854","             4415170.50","        543","       6547","         55.23"
"RAMCOSYS","EQ","24-Aug-2018","        370.35","        372.60","        372.60","        362.30","        365.00","        364.15","        366.23","      14416","             5279499.60","        711","       9558","         66.30"
"RAMCOSYS","EQ","27-Aug-2018","        364.15","        368.40","        371.05","        363.10","        365.00","        364.65","        366.87","      11486","             4213895.85","        447","       8270","         72.00"
"RAMCOSYS","EQ","28-Aug-2018","        364.65","        365.80","        382.50","        363.30","        368.50","        368.15","        372.45","      49770","            18536856.65","       1468","      15189","         30.52"
"RAMCOSYS","EQ","29-Aug-2018","        368.15","        370.70","        375.00","        364.00","        365.50","        366.30","        369.82","      22548","             8338789.85","        670","      13870","         61.51"
"RAMCOSYS","EQ","30-Aug-2018","        366.30","        367.00","        375.00","        364.05","        371.90","        369.90","        369.58","      16234","             5999781.15","        643","       8991","         55.38"
"RAMCOSYS","EQ","31-Aug-2018","        369.90","        371.90","        375.00","        348.85","        360.80","        360.55","        364.79","      60476","            22060889.60","       1605","      31126","         51.47"
"RAMCOSYS","EQ","03-Sep-2018","        360.55","        360.55","        369.00","        359.15","        364.55","        364.70","        365.64","      28222","            10319030.10","       1268","      21155","         74.96"
"RAMCOSYS","EQ","04-Sep-2018","        364.70","        367.60","        369.70","        358.25","        358.70","        359.60","        363.14","      15303","             5557068.95","        648","       9607","         62.78"
"RAMCOSYS","EQ","05-Sep-2018","        359.60","        357.00","        360.80","        345.15","        352.00","        352.50","        351.96","      16753","             5896381.30","        801","      10292","         61.43"
"RAMCOSYS","EQ","06-Sep-2018","        352.50","        353.75","        359.50","        349.75","        350.25","        352.85","        355.09","      11334","             4024615.60","        485","       6151","         54.27"
"RAMCOSYS","EQ","07-Sep-2018","        352.85","        350.30","        356.00","        345.60","        348.95","        348.65","        350.05","      22703","             7947266.90","        818","      11589","         51.05"
"RAMCOSYS","EQ","10-Sep-2018","        348.65","        350.70","        359.90","        347.00","        350.00","        349.20","        352.63","      12920","             4555994.45","        550","       7317","         56.63"
"RAMCOSYS","EQ","11-Sep-2018","        349.20","        351.90","        356.90","        345.85","        347.05","        347.70","        351.58","      11432","             4019290.80","        508","       6207","         54.29"
"RAMCOSYS","EQ","12-Sep-2018","        347.70","        347.70","        350.05","        343.00","        347.30","        345.10","        346.34","      10244","             3547882.80","        479","       5633","         54.99"
"RAMCOSYS","EQ","14-Sep-2018","        345.10","        347.05","        354.55","        347.05","        348.00","        349.25","        350.44","      11296","             3958543.70","        313","       5946","         52.64"
"RAMCOSYS","EQ","17-Sep-2018","        349.25","        350.50","        355.00","        345.20","        351.25","        352.35","        351.06","      17607","             6181158.90","        566","       9905","         56.26"
"RAMCOSYS","EQ","18-Sep-2018","        352.35","        350.40","        353.50","        346.45","        346.45","        348.30","        349.13","       6268","             2188367.75","        323","       3755","         59.91"
"RAMCOSYS","EQ","19-Sep-2018","        348.30","        350.05","        352.00","        340.00","        352.00","        346.05","        343.87","      11465","             3942423.60","        471","       7076","         61.72"
"RAMCOSYS","EQ","21-Sep-2018","        346.05","        348.00","        349.40","        315.00","        326.60","        326.55","        329.21","      25626","             8436262.60","       1229","      14752","         57.57"
"RAMCOSYS","EQ","24-Sep-2018","        326.55","        322.25","        334.80","        315.00","        330.00","        332.25","        325.33","      30063","             9780325.45","       1134","      11625","         38.67"
