"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNTECK","EQ","16-Jul-2018","        391.30","        394.40","        394.40","        381.35","        386.00","        386.85","        388.09","      80226","            31135045.20","       3326","       5491","          6.84"
"SUNTECK","EQ","17-Jul-2018","        386.85","        385.15","        392.50","        382.65","        389.80","        389.40","        387.73","      68601","            26598626.35","       2964","       5939","          8.66"
"SUNTECK","EQ","18-Jul-2018","        389.40","        388.25","        390.90","        383.50","        388.00","        388.60","        387.72","      91556","            35498392.45","       3100","       2318","          2.53"
"SUNTECK","EQ","19-Jul-2018","        388.60","        389.95","        400.00","        382.55","        392.75","        392.70","        390.70","      96511","            37706672.85","       5181","      15553","         16.12"
"SUNTECK","EQ","20-Jul-2018","        392.70","        390.30","        395.05","        385.40","        385.60","        388.65","        389.39","      76203","            29672820.95","       2710","      16676","         21.88"
"SUNTECK","EQ","23-Jul-2018","        388.65","        387.70","        392.00","        383.95","        390.90","        388.65","        387.38","     100398","            38892263.15","       4220","      13617","         13.56"
"SUNTECK","EQ","24-Jul-2018","        388.65","        387.55","        401.00","        387.55","        399.50","        400.35","        396.65","     136777","            54252786.00","       4168","      42562","         31.12"
"SUNTECK","EQ","25-Jul-2018","        400.35","        402.00","        408.00","        394.00","        397.00","        400.00","        403.60","     150104","            60581946.05","       3584","      41013","         27.32"
"SUNTECK","EQ","26-Jul-2018","        400.00","        400.00","        409.50","        391.90","        404.80","        405.15","        398.94","     231082","            92188636.30","       4935","      46011","         19.91"
"SUNTECK","EQ","27-Jul-2018","        405.15","        405.15","        411.90","        402.95","        404.95","        407.90","        406.95","     190927","            77697582.05","       3499","      47573","         24.92"
"SUNTECK","EQ","30-Jul-2018","        407.90","        407.00","        412.00","        401.60","        409.95","        409.05","        407.32","     153829","            62657195.30","       3509","      22328","         14.51"
"SUNTECK","EQ","31-Jul-2018","        409.05","        408.15","        414.00","        403.00","        410.40","        411.50","        408.91","     175796","            71885020.85","       4469","      52618","         29.93"
"SUNTECK","EQ","01-Aug-2018","        411.50","        413.90","        416.00","        405.50","        411.00","        410.80","        410.16","     133771","            54867502.70","       3478","      31844","         23.80"
"SUNTECK","EQ","02-Aug-2018","        410.80","        409.90","        412.90","        402.45","        407.00","        407.40","        408.07","     111346","            45436783.30","       3369","      23516","         21.12"
"SUNTECK","EQ","03-Aug-2018","        407.40","        407.00","        423.90","        407.00","        415.00","        417.55","        413.63","     108724","            44971245.55","       3883","      18354","         16.88"
"SUNTECK","EQ","06-Aug-2018","        417.55","        417.00","        437.90","        417.00","        437.80","        435.70","        431.36","     376176","           162268261.00","       5198","     193582","         51.46"
"SUNTECK","EQ","07-Aug-2018","        435.70","        440.85","        440.85","        435.00","        437.40","        437.55","        436.88","     126961","            55466878.50","       3681","      51408","         40.49"
"SUNTECK","EQ","08-Aug-2018","        437.55","        435.00","        446.40","        411.20","        434.80","        435.00","        422.15","    3429786","          1447869080.30","      10689","    1236709","         36.06"
"SUNTECK","EQ","09-Aug-2018","        435.00","        438.00","        456.00","        435.00","        454.95","        452.85","        449.01","     263003","           118091961.05","       7204","     113310","         43.08"
"SUNTECK","EQ","10-Aug-2018","        452.85","        451.00","        459.00","        443.10","        457.00","        456.95","        453.74","     108972","            49445011.45","       4682","      18017","         16.53"
"SUNTECK","EQ","13-Aug-2018","        456.95","        458.65","        470.90","        455.05","        459.00","        460.50","        462.39","     518205","           239610794.00","      11027","     126515","         24.41"
"SUNTECK","EQ","14-Aug-2018","        460.50","        463.00","        467.00","        457.70","        463.00","        463.70","        461.32","      97393","            44929194.60","       2942","      28141","         28.89"
"SUNTECK","EQ","16-Aug-2018","        463.70","        463.00","        466.45","        459.40","        460.30","        462.20","        462.94","     108738","            50338835.15","       2646","      27238","         25.05"
"SUNTECK","EQ","17-Aug-2018","        462.20","        464.00","        486.95","        457.60","        473.00","        476.60","        467.65","     210348","            98368221.80","       6224","      62885","         29.90"
"SUNTECK","EQ","20-Aug-2018","        476.60","        477.90","        489.90","        466.15","        479.10","        477.90","        476.04","     187774","            89388659.15","       5902","      48999","         26.09"
"SUNTECK","EQ","21-Aug-2018","        477.90","        480.00","        492.95","        480.00","        488.00","        487.75","        487.24","      99941","            48694819.50","       2736","      26798","         26.81"
"SUNTECK","EQ","23-Aug-2018","        487.75","        492.80","        504.80","        485.60","        502.50","        501.45","        497.09","     259356","           128922554.60","       4855","     160050","         61.71"
"SUNTECK","EQ","24-Aug-2018","        501.45","        500.00","        526.00","        487.05","        522.00","        520.65","        503.53","    1012259","           509698196.15","      10333","     783821","         77.43"
"SUNTECK","EQ","27-Aug-2018","        520.65","        523.50","        527.35","        506.35","        507.50","        512.10","        515.91","     173886","            89708659.45","       5606","      51090","         29.38"
"SUNTECK","EQ","28-Aug-2018","        512.10","        511.00","        519.25","        504.05","        512.50","        513.65","        512.41","     272513","           139639549.80","       8482","      82842","         30.40"
"SUNTECK","EQ","29-Aug-2018","        513.65","        516.50","        521.50","        508.00","        514.50","        513.70","        515.14","     281034","           144773126.15","       8217","      89843","         31.97"
"SUNTECK","EQ","30-Aug-2018","        513.70","        517.35","        517.35","        509.05","        511.70","        512.35","        512.73","     221110","           113369194.55","       4245","     132194","         59.79"
"SUNTECK","EQ","31-Aug-2018","        512.35","        513.70","        517.00","        495.40","        508.25","        508.80","        509.65","     339942","           173252588.65","       5810","     190258","         55.97"
"SUNTECK","EQ","03-Sep-2018","        508.80","        504.50","        505.25","        492.60","        495.00","        500.35","        501.07","     180796","            90590778.20","       5914","      97478","         53.92"
"SUNTECK","EQ","04-Sep-2018","        500.35","        501.00","        501.00","        469.95","        475.20","        478.40","        486.66","     214849","           104557695.40","       7786","      73008","         33.98"
"SUNTECK","EQ","05-Sep-2018","        478.40","        475.70","        493.40","        470.60","        482.00","        485.75","        482.74","     108368","            52313537.75","       4610","      22258","         20.54"
"SUNTECK","EQ","06-Sep-2018","        485.75","        489.35","        489.35","        479.00","        482.50","        482.35","        483.53","     128581","            62173365.05","       5965","      32110","         24.97"
"SUNTECK","EQ","07-Sep-2018","        482.35","        485.60","        485.60","        476.05","        482.45","        482.05","        481.54","      93079","            44821080.20","       5950","      20219","         21.72"
"SUNTECK","EQ","10-Sep-2018","        482.05","        483.50","        485.40","        472.50","        473.20","        476.60","        478.95","      74220","            35547395.95","       5214","      20997","         28.29"
"SUNTECK","EQ","11-Sep-2018","        476.60","        476.25","        480.00","        460.25","        472.00","        465.00","        468.92","     177696","            83325518.10","       8934","      33398","         18.80"
"SUNTECK","EQ","12-Sep-2018","        465.00","        465.25","        473.90","        447.20","        462.00","        462.25","        461.56","     208492","            96230974.70","       9128","      47398","         22.73"
"SUNTECK","EQ","14-Sep-2018","        462.25","        468.50","        483.65","        461.50","        479.80","        478.50","        472.75","     166907","            78905156.85","       7634","      32222","         19.31"
"SUNTECK","EQ","17-Sep-2018","        478.50","        478.90","        482.65","        469.15","        476.85","        476.80","        476.09","     204184","            97210019.40","       8882","      49643","         24.31"
"SUNTECK","EQ","18-Sep-2018","        476.80","        479.50","        481.90","        456.10","        456.55","        460.55","        470.82","     122826","            57829244.65","       6441","      26349","         21.45"
"SUNTECK","EQ","19-Sep-2018","        460.55","        463.00","        474.30","        461.45","        473.30","        467.40","        467.29","     118808","            55517823.50","       5844","      25599","         21.55"
"SUNTECK","EQ","21-Sep-2018","        467.40","        471.35","        481.95","        422.00","        460.15","        464.90","        463.13","     232637","           107741613.50","       7025","      93096","         40.02"
"SUNTECK","EQ","24-Sep-2018","        464.90","        467.70","        467.70","        422.60","        429.95","        445.50","        451.15","     189166","            85342758.90","       7503","      71224","         37.65"
