"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TIMETECHNO","EQ","16-Jul-2018","        136.10","        136.10","        136.10","        130.10","        132.00","        130.65","        131.65","     118225","            15564365.20","       1504","      61985","         52.43"
"TIMETECHNO","EQ","17-Jul-2018","        130.65","        131.70","        136.70","        131.30","        133.85","        134.10","        134.20","     143377","            19241791.90","       2051","      40496","         28.24"
"TIMETECHNO","EQ","18-Jul-2018","        134.10","        134.20","        138.10","        129.45","        130.55","        130.70","        133.22","     151495","            20181679.40","       1447","      75653","         49.94"
"TIMETECHNO","EQ","19-Jul-2018","        130.70","        130.60","        132.00","        126.00","        126.45","        126.85","        127.60","     194524","            24820430.30","       3009","     104745","         53.85"
"TIMETECHNO","EQ","20-Jul-2018","        126.85","        126.40","        127.90","        121.65","        124.30","        124.55","        125.03","     168965","            21125037.35","       3438","      66277","         39.23"
"TIMETECHNO","EQ","23-Jul-2018","        124.55","        122.20","        128.50","        122.20","        125.70","        125.60","        125.60","     224634","            28212921.95","       2839","     146496","         65.22"
"TIMETECHNO","EQ","24-Jul-2018","        125.60","        126.10","        135.70","        126.10","        134.20","        132.35","        132.92","     409768","            54467863.15","       5117","     132348","         32.30"
"TIMETECHNO","EQ","25-Jul-2018","        132.35","        134.45","        140.90","        134.00","        136.75","        136.80","        138.45","     309938","            42910372.60","       3952","      78009","         25.17"
"TIMETECHNO","EQ","26-Jul-2018","        136.80","        137.75","        139.90","        136.10","        136.50","        136.95","        138.05","     110766","            15290741.80","       1535","      48452","         43.74"
"TIMETECHNO","EQ","27-Jul-2018","        136.95","        137.50","        143.20","        137.50","        138.55","        138.00","        139.46","     142891","            19926996.70","       1725","      56215","         39.34"
"TIMETECHNO","EQ","30-Jul-2018","        138.00","        138.50","        142.00","        137.60","        137.80","        138.25","        139.47","     124840","            17411446.55","       1451","      56559","         45.31"
"TIMETECHNO","EQ","31-Jul-2018","        138.25","        138.55","        141.50","        138.10","        140.05","        139.95","        139.60","     140264","            19580419.50","       1465","      84519","         60.26"
"TIMETECHNO","EQ","01-Aug-2018","        139.95","        141.10","        143.95","        140.00","        142.40","        142.05","        141.92","     176553","            25056724.10","       1739","      82646","         46.81"
"TIMETECHNO","EQ","02-Aug-2018","        142.05","        142.90","        146.05","        140.80","        143.65","        143.95","        143.93","     209711","            30183099.15","       2549","      85877","         40.95"
"TIMETECHNO","EQ","03-Aug-2018","        143.95","        145.00","        146.00","        139.10","        140.05","        140.20","        141.01","     234480","            33063251.50","       3946","     108763","         46.38"
"TIMETECHNO","EQ","06-Aug-2018","        140.20","        141.00","        153.40","        140.95","        150.90","        151.15","        149.66","     781865","           117010202.20","      11777","     273559","         34.99"
"TIMETECHNO","EQ","07-Aug-2018","        151.15","        151.50","        159.55","        151.50","        158.00","        157.55","        156.83","     788722","           123694474.40","       8595","     302704","         38.38"
"TIMETECHNO","EQ","08-Aug-2018","        157.55","        158.70","        162.35","        156.05","        161.00","        160.85","        159.41","     271619","            43298397.70","       8976","     115553","         42.54"
"TIMETECHNO","EQ","09-Aug-2018","        160.85","        161.00","        161.00","        155.25","        157.00","        157.00","        157.37","     207987","            32729934.40","       3927","     155013","         74.53"
"TIMETECHNO","EQ","10-Aug-2018","        157.00","        159.75","        159.75","        150.05","        150.60","        150.95","        152.06","     183710","            27934508.80","       4919","     118312","         64.40"
"TIMETECHNO","EQ","13-Aug-2018","        150.95","        150.70","        150.70","        144.35","        145.70","        145.90","        147.31","     156675","            23079379.45","       3593","     120237","         76.74"
"TIMETECHNO","EQ","14-Aug-2018","        145.90","        145.70","        145.70","        142.85","        144.90","        145.00","        144.62","      92723","            13409440.35","       3452","      65563","         70.71"
"TIMETECHNO","EQ","16-Aug-2018","        145.00","        144.75","        145.80","        141.25","        142.05","        143.30","        143.33","     101089","            14489279.35","       5840","      63343","         62.66"
"TIMETECHNO","EQ","17-Aug-2018","        143.30","        144.00","        146.90","        142.50","        143.80","        144.10","        143.94","     362810","            52224066.30","       8936","     312831","         86.22"
"TIMETECHNO","EQ","20-Aug-2018","        144.10","        144.10","        144.40","        141.00","        142.70","        142.95","        142.92","     182378","            26066172.95","       6982","     148088","         81.20"
"TIMETECHNO","EQ","21-Aug-2018","        142.95","        142.05","        144.10","        141.25","        142.50","        142.80","        143.08","     245835","            35175214.50","      18449","     200543","         81.58"
"TIMETECHNO","EQ","23-Aug-2018","        142.80","        144.00","        152.50","        143.00","        146.00","        147.05","        147.00","     210810","            30988866.15","       8888","     132440","         62.82"
"TIMETECHNO","EQ","24-Aug-2018","        147.05","        145.30","        154.55","        144.65","        151.60","        151.40","        151.50","     255707","            38739854.10","      17216","     126922","         49.64"
"TIMETECHNO","EQ","27-Aug-2018","        151.40","        152.50","        155.95","        151.55","        155.15","        154.90","        154.24","     180711","            27872781.50","      10966","     133056","         73.63"
"TIMETECHNO","EQ","28-Aug-2018","        154.90","        156.40","        157.30","        150.85","        152.15","        152.10","        153.85","     186174","            28643421.25","      11322","     140111","         75.26"
"TIMETECHNO","EQ","29-Aug-2018","        152.10","        154.85","        158.05","        153.00","        155.00","        154.65","        155.33","     129682","            20143275.60","       8386","      72088","         55.59"
"TIMETECHNO","EQ","30-Aug-2018","        154.65","        155.00","        156.55","        152.10","        154.55","        154.40","        153.90","     123777","            19049138.70","       7475","      82053","         66.29"
"TIMETECHNO","EQ","31-Aug-2018","        154.40","        156.70","        156.70","        152.10","        153.15","        154.55","        154.44","     218960","            33816106.05","       7887","     191178","         87.31"
