"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WELCORP","EQ","16-Jul-2018","        116.60","        117.90","        117.90","        105.90","        106.20","        106.55","        110.70","     352773","            39053023.40","       2938","     186495","         52.87"
"WELCORP","EQ","17-Jul-2018","        106.55","        108.00","        109.35","        105.30","        106.50","        106.40","        106.74","     333153","            35561627.00","       2571","     205170","         61.58"
"WELCORP","EQ","18-Jul-2018","        106.40","        108.50","        108.50","        105.00","        106.05","        106.20","        106.19","     135076","            14343698.55","       2731","      57280","         42.41"
"WELCORP","EQ","19-Jul-2018","        106.20","        106.20","        110.95","        103.00","        104.50","        104.65","        107.35","     285858","            30686022.80","       4500","      93161","         32.59"
"WELCORP","EQ","20-Jul-2018","        104.65","        105.65","        108.75","        102.75","        108.50","        108.05","        106.22","     134874","            14326157.20","       1986","      60118","         44.57"
"WELCORP","EQ","23-Jul-2018","        108.05","        109.00","        114.65","        105.50","        109.40","        109.75","        109.57","     568679","            62307632.15","       6685","      73253","         12.88"
"WELCORP","EQ","24-Jul-2018","        109.75","        108.90","        117.60","        107.10","        114.80","        115.05","        114.54","     424486","            48619179.15","       6764","     149403","         35.20"
"WELCORP","EQ","25-Jul-2018","        115.05","        116.25","        116.25","        110.10","        112.00","        111.75","        112.56","     262271","            29521550.50","       2767","     140778","         53.68"
"WELCORP","EQ","26-Jul-2018","        111.75","        112.65","        133.80","        108.30","        130.70","        127.80","        119.73","   14491073","          1734974588.95","      56188","    4854652","         33.50"
"WELCORP","EQ","27-Jul-2018","        127.80","        129.00","        129.90","        121.75","        122.90","        123.10","        125.96","    3200508","           403133198.15","      24298","     999668","         31.23"
"WELCORP","EQ","30-Jul-2018","        123.10","        124.30","        124.30","        119.75","        121.20","        121.80","        122.09","     819393","           100036521.95","       5591","     353383","         43.13"
"WELCORP","EQ","31-Jul-2018","        121.80","        121.95","        129.60","        120.50","        125.20","        125.10","        125.86","    1737737","           218715111.35","      12559","     792186","         45.59"
