,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
0,MINDTREE,EQ,15-May-2017,510.6,507.35,515.0,505.9,510.5,509.45,510.39,271952,138800509.75,8261,100362,36.9,5,2017,509.45000000000005,0.0,Slight or No change
1,MINDTREE,EQ,16-May-2017,509.45,507.0,515.85,506.0,511.0,511.3,512.69,207011,106131728.2,5550,82090,39.65,5,2017,510.24958232681854,0.00363136716066359,Slight or No change
2,MINDTREE,EQ,17-May-2017,511.3,507.05,519.7,502.75,504.0,506.35,512.1,391401,200437504.6,13341,150098,38.35,5,2017,508.49594772991526,-0.009681204772149399,Slight or No change
3,MINDTREE,EQ,18-May-2017,506.35,502.0,516.75,486.0,487.5,492.9,505.6,852336,430937717.05,18513,170919,20.05,5,2017,500.7795794102281,-0.026562654290510634,Slight or No change
4,MINDTREE,EQ,19-May-2017,492.9,491.95,502.95,489.5,495.15,497.5,496.43,352273,174878151.5,8326,57853,16.42,5,2017,500.2227975737515,0.009332521809697791,Slight or No change
5,MINDTREE,EQ,22-May-2017,497.5,499.95,511.85,497.1,501.55,502.35,504.78,399974,201899898.35,9779,107089,26.77,5,2017,500.5665728801465,0.009748743718593023,Slight or No change
6,MINDTREE,EQ,23-May-2017,502.35,504.0,507.45,491.0,498.0,501.15,498.72,452893,225866353.65,8567,198703,43.87,5,2017,500.65682031805017,-0.0023887727679905435,Slight or No change
7,MINDTREE,EQ,24-May-2017,501.15,502.0,515.0,494.05,511.95,509.95,506.72,823967,417521056.9,15083,351179,42.62,5,2017,502.6977764181366,0.017559612890352128,Slight or No change
8,MINDTREE,EQ,25-May-2017,509.95,513.7,549.5,508.45,542.5,543.9,532.14,1632427,868682873.0,25072,693340,42.47,5,2017,515.1897339064387,0.06657515442690465,Slight or No change
9,MINDTREE,EQ,26-May-2017,543.9,540.0,544.0,532.0,533.45,535.2,537.15,461613,247953805.9,12606,113087,24.5,5,2017,516.7698298210678,-0.01599558742415874,Slight or No change
10,MINDTREE,EQ,29-May-2017,535.2,532.5,552.05,521.6,529.15,530.55,535.83,718355,384914121.1,19256,173854,24.2,5,2017,518.2778660071704,-0.008688340807175066,Slight or No change
11,MINDTREE,EQ,30-May-2017,530.55,530.55,540.0,524.0,535.6,537.4,535.4,475566,254620399.25,11648,186388,39.19,5,2017,519.5696467554044,0.012911129959475964,Slight or No change
12,MINDTREE,EQ,31-May-2017,537.4,540.0,549.8,534.5,546.05,543.95,543.99,617800,336076783.45,18504,234480,37.95,5,2017,521.536613582798,0.012188314104949916,Slight or No change
13,MINDTREE,EQ,01-Jun-2017,543.95,545.05,549.0,535.0,538.0,537.4,540.08,504801,272634250.6,18409,182246,36.1,6,2017,522.5176833343359,-0.01204154793639134,Slight or No change
14,MINDTREE,EQ,02-Jun-2017,537.4,537.8,543.8,533.1,539.9,539.9,539.28,312022,168268100.8,6951,139538,44.72,6,2017,523.1576898210149,0.004652028284331866,Slight or No change
15,MINDTREE,EQ,05-Jun-2017,539.9,540.0,560.0,536.3,555.85,557.45,552.59,960839,530948103.85,34305,367704,38.27,6,2017,526.6498557798803,0.032506019633265604,Slight or No change
16,MINDTREE,EQ,06-Jun-2017,557.45,560.0,565.9,544.4,546.0,546.7,557.59,931646,519479225.9,28291,241092,25.88,6,2017,528.4517136068763,-0.01928424073907975,Slight or No change
17,MINDTREE,EQ,07-Jun-2017,546.7,549.5,556.1,513.55,534.9,536.9,534.96,957153,512035924.15,18469,250862,26.21,6,2017,529.1657971425187,-0.01792573623559557,Slight or No change
18,MINDTREE,EQ,08-Jun-2017,536.9,538.5,546.35,528.0,542.8,543.5,539.33,459527,247838052.8,9138,138735,30.19,6,2017,529.7247925117001,0.012292791953808946,Slight or No change
19,MINDTREE,EQ,09-Jun-2017,543.5,542.0,542.75,534.15,537.05,538.75,538.62,229279,123494625.55,7087,87478,38.15,6,2017,529.8970491478489,-0.00873965041398339,Slight or No change
