"Date","Open","High","Low","Close"
"05 Jul 2019","11964.75","11981.75","11797.90","11811.15"
"04 Jul 2019","11928.80","11969.25","11923.65","11946.75"
"03 Jul 2019","11932.15","11945.20","11887.05","11916.75"
"02 Jul 2019","11890.30","11917.45","11814.70","11910.30"
"01 Jul 2019","11839.90","11884.65","11830.80","11865.60"
"28 Jun 2019","11861.15","11871.70","11775.50","11788.85"
"27 Jun 2019","11860.85","11911.15","11821.05","11841.55"
"26 Jun 2019","11768.15","11871.85","11757.55","11847.55"
"25 Jun 2019","11681.00","11814.40","11651.00","11796.45"
"24 Jun 2019","11725.80","11754.00","11670.20","11699.65"
"21 Jun 2019","11827.60","11827.95","11705.10","11724.10"
"20 Jun 2019","11653.65","11843.50","11635.05","11831.75"
"19 Jun 2019","11744.45","11802.50","11625.10","11691.45"
"18 Jun 2019","11677.05","11727.20","11641.15","11691.50"
"17 Jun 2019","11844.00","11844.05","11657.75","11672.15"
"14 Jun 2019","11910.10","11911.85","11797.70","11823.30"
"13 Jun 2019","11873.90","11931.35","11817.05","11914.05"
"12 Jun 2019","11962.45","11962.45","11866.35","11906.20"
"11 Jun 2019","11959.85","12000.35","11904.35","11965.60"
"10 Jun 2019","11934.90","11975.05","11871.75","11922.70"
"07 Jun 2019","11865.20","11897.50","11769.50","11870.65"
"06 Jun 2019","12039.80","12039.80","11830.25","11843.75"
"04 Jun 2019","12052.65","12095.20","12005.85","12021.65"
"03 Jun 2019","11953.75","12103.05","11920.10","12088.55"
"31 May 2019","11999.80","12039.25","11829.45","11922.80"
"30 May 2019","11865.30","11968.55","11859.40","11945.90"
"29 May 2019","11905.80","11931.90","11836.80","11861.10"
"28 May 2019","11958.35","11958.55","11864.90","11928.75"
"27 May 2019","11855.50","11957.15","11812.40","11924.75"
"24 May 2019","11748.00","11859.00","11658.10","11844.10"
"23 May 2019","11901.30","12041.15","11614.50","11657.05"
"22 May 2019","11727.95","11784.80","11682.40","11737.90"
"21 May 2019","11863.65","11883.55","11682.80","11709.10"
"20 May 2019","11651.90","11845.20","11591.70","11828.25"
