"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CUB","EQ","06-Jul-2017","        179.60","        179.25","        181.00","        178.80","        180.10","        180.00","        180.04","     513327","            92419084.95","       4265","     457813","         89.19"
"CUB","EQ","07-Jul-2017","        180.00","        182.00","        182.75","        179.40","        182.20","        181.55","        181.40","     150843","            27363238.10","       2074","      88526","         58.69"
"CUB","EQ","10-Jul-2017","        181.55","        180.00","        185.35","        180.00","        184.80","        184.80","        184.11","      90882","            16732274.25","        776","      68791","         75.69"
"CUB","EQ","11-Jul-2017","        184.80","        186.90","        187.60","        182.10","        183.00","        183.50","        182.90","    1138652","           208259290.25","       5030","     987514","         86.73"
"CUB","EQ","12-Jul-2017","        183.50","        184.40","        184.75","        182.30","        182.50","        183.05","        183.39","     313207","            57438040.15","       3905","     244864","         78.18"
"CUB","EQ","13-Jul-2017","        183.05","        173.00","        178.00","        169.55","        173.80","        174.15","        174.39","     881346","           153702275.80","      37883","     449353","         50.98"
"CUB","EQ","14-Jul-2017","        174.15","        175.00","        178.80","        171.50","        173.50","        172.45","        174.94","     347392","            60773740.15","       7138","     163682","         47.12"
"CUB","EQ","17-Jul-2017","        172.45","        174.90","        174.90","        168.90","        170.20","        169.60","        171.37","     273879","            46934699.65","       3860","     167615","         61.20"
"CUB","EQ","18-Jul-2017","        169.60","        171.00","        172.00","        165.15","        167.50","        166.70","        168.33","     370626","            62386263.60","       2961","     299333","         80.76"
"CUB","EQ","19-Jul-2017","        166.70","        168.00","        168.00","        163.00","        163.35","        164.05","        165.44","     220251","            36437374.00","       2653","     137272","         62.33"
"CUB","EQ","20-Jul-2017","        164.05","        165.00","        165.70","        160.50","        161.40","        161.55","        162.33","     294281","            47770747.00","       3087","     231637","         78.71"
"CUB","EQ","21-Jul-2017","        161.55","        161.00","        161.95","        159.00","        159.50","        159.65","        159.97","     360211","            57624155.75","       8150","     239354","         66.45"
"CUB","EQ","24-Jul-2017","        159.65","        159.95","        160.10","        157.50","        158.85","        158.70","        158.39","     453418","            71818457.65","       2805","     386031","         85.14"
"CUB","EQ","25-Jul-2017","        158.70","        159.85","        163.20","        158.00","        162.65","        162.65","        161.84","     374478","            60604719.60","       9241","     206880","         55.24"
"CUB","EQ","26-Jul-2017","        162.65","        164.00","        165.00","        161.60","        164.30","        163.35","        163.73","     366902","            60071515.90","       4099","     263107","         71.71"
"CUB","EQ","27-Jul-2017","        163.35","        164.60","        168.60","        162.00","        167.75","        168.05","        166.10","    1584061","           263105889.25","      11698","    1411898","         89.13"
"CUB","EQ","28-Jul-2017","        168.05","        166.90","        168.00","        164.70","        167.60","        167.55","        166.72","     288264","            48058020.15","       6702","     170310","         59.08"
"CUB","EQ","31-Jul-2017","        167.55","        169.55","        180.00","        163.00","        179.90","        176.35","        171.53","     908766","           155883888.45","      17167","     692668","         76.22"
"CUB","EQ","01-Aug-2017","        176.35","        176.00","        178.50","        170.20","        178.00","        174.95","        173.17","     845643","           146436055.50","       8713","     599325","         70.87"
"CUB","EQ","02-Aug-2017","        174.95","        173.55","        176.75","        170.00","        170.15","        171.25","        172.27","     327681","            56449216.10","       4696","     195839","         59.77"
"CUB","EQ","03-Aug-2017","        171.25","        171.25","        172.55","        170.00","        170.55","        170.95","        171.01","     165543","            28309557.95","       2154","     108250","         65.39"
"CUB","EQ","04-Aug-2017","        170.95","        171.50","        171.50","        166.45","        168.10","        168.05","        167.74","     419776","            70412410.70","       3672","     325755","         77.60"
