Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
12-Jul-19, ONGC, EQ,153,153.35,148,148.9,149.7,13015538,19603.69
11-Jul-19, ONGC, EQ,153,154.1,152,153,153.1,6576542,10069.94
10-Jul-19, ONGC, EQ,153.05,154.4,149.65,151.7,151.65,5310646,8067.62
09-Jul-19, ONGC, EQ,152.4,155.45,150.65,153,153.4,15033604,23020.49
08-Jul-19, ONGC, EQ,161.45,161.5,151.05,152.5,152.4,10273814,15844.92
05-Jul-19, ONGC, EQ,167.1,168.05,160,160.4,161.5,14509056,23536.81
04-Jul-19, ONGC, EQ,166.4,168.9,166.1,167.1,167.1,8827834,14771.33
03-Jul-19, ONGC, EQ,165.8,167.95,163.5,166.5,166.3,8253849,13703.79
02-Jul-19, ONGC, EQ,163,166.25,161.5,165.8,165.65,10975678,18007.89
01-Jul-19, ONGC, EQ,168.2,170.4,159.25,161.25,161,15160240,24735.22
28-Jun-19, ONGC, EQ,170.3,171.3,166.65,168,167.75,5325984,8992.23
27-Jun-19, ONGC, EQ,167.55,171.8,167.25,169.9,170.6,36738164,62562.27
26-Jun-19, ONGC, EQ,166.1,169.15,166.1,167.35,167.55,5978575,10029.88
25-Jun-19, ONGC, EQ,165.5,168.45,165.5,166,166.2,6697367,11169.62
24-Jun-19, ONGC, EQ,171.15,171.85,164.85,165.8,165.2,6585159,10965.99
21-Jun-19, ONGC, EQ,171.75,173.45,169.8,170.85,170.95,11402911,19537.66
20-Jun-19, ONGC, EQ,166.3,172.75,166.3,172.15,172,5793816,9864.92
19-Jun-19, ONGC, EQ,166.8,169.1,164.6,167.25,167.35,4625698,7723.53
18-Jun-19, ONGC, EQ,164,166.95,163.25,166.5,166.15,5808715,9588.41
17-Jun-19, ONGC, EQ,169.5,169.95,162.95,163.8,164.4,4603627,7666.52
14-Jun-19, ONGC, EQ,168.95,171,168.45,168.8,169.3,7153585,12154.24
13-Jun-19, ONGC, EQ,168.8,170.2,167,168.95,168.95,6678516,11262.63
12-Jun-19, ONGC, EQ,168.05,171.45,166,170.85,170.85,9478876,16128.3
11-Jun-19, ONGC, EQ,164.85,170.35,164.85,168.9,169.25,11282418,19029.82
10-Jun-19, ONGC, EQ,168.1,169,163.2,165,164.65,10866149,18055.92
07-Jun-19, ONGC, EQ,169.6,170.1,166.55,167.55,167.5,5052519,8481.12
06-Jun-19, ONGC, EQ,170.5,172.1,168.85,169.55,169.4,14152285,24081.78
04-Jun-19, ONGC, EQ,172.9,173.5,170.05,170.35,170.6,8578302,14707.39
03-Jun-19, ONGC, EQ,173,173.2,167.5,173.2,172.15,17756361,30183.5
31-May-19, ONGC, EQ,168,173.95,166.55,172,171.95,17113729,29120.79
30-May-19, ONGC, EQ,172,172,167.55,169.25,169.45,21945960,37210.16
29-May-19, ONGC, EQ,173.9,174.65,170.35,171.4,171.55,7205487,12364.36
28-May-19, ONGC, EQ,173.15,176.4,171.6,174.8,175.3,16628505,29039.38
27-May-19, ONGC, EQ,174,175.2,172.55,173.15,173.65,7461458,12963.26
24-May-19, ONGC, EQ,174,175.9,168.8,174,174.4,9263195,15927.13
23-May-19, ONGC, EQ,178.5,178.9,173,174.35,174.15,9247879,16298.28
22-May-19, ONGC, EQ,174.85,178,174.15,177,177,10347293,18301.97
21-May-19, ONGC, EQ,175.1,176.5,173.8,174.25,174.75,7135887,12468.34
20-May-19, ONGC, EQ,170,176.6,169.1,176.1,176,7103649,12384.9
17-May-19, ONGC, EQ,166.5,168,162.1,167.3,167.35,5532072,9118.47
16-May-19, ONGC, EQ,163.4,166.9,162,166.5,165.95,5197438,8520.34
15-May-19, ONGC, EQ,164.6,165.2,161.8,162.65,162.75,5412275,8830.98
14-May-19, ONGC, EQ,162,165.4,160.85,164,164.15,7268915,11827.61
13-May-19, ONGC, EQ,167.2,167.9,163,164.4,164.1,7792358,12932.58
10-May-19, ONGC, EQ,168.4,169.4,165.7,166.75,166.3,6195094,10361.73
09-May-19, ONGC, EQ,167.4,170.1,167.4,169,169.4,6869953,11604.55
08-May-19, ONGC, EQ,171.4,171.4,167.75,168.95,168.9,8603091,14549.09
07-May-19, ONGC, EQ,170.4,172.5,168.6,171.5,171.7,9042790,15415.56
06-May-19, ONGC, EQ,170,171.7,168.15,170.2,170.15,18962836,32063.33
03-May-19, ONGC, EQ,168.85,171.9,168.7,170.7,170.25,12720120,21713.1
02-May-19, ONGC, EQ,169.3,172,168.4,169.5,168.9,22056708,37386.5
30-Apr-19, ONGC, EQ,168,171.15,166.15,169.3,169.2,9844317,16575.5
26-Apr-19, ONGC, EQ,169.5,169.95,167.9,168.1,168.4,8708111,14684.21
25-Apr-19, ONGC, EQ,168.35,170,166.55,169,168.85,134264338,226440.39
24-Apr-19, ONGC, EQ,165.7,170.45,165.7,168.35,168.65,33596281,56505.88
23-Apr-19, ONGC, EQ,158,165,157.6,165,163.75,10137024,16381.56
22-Apr-19, ONGC, EQ,160.7,161.5,156.9,157.9,157.9,5543020,8786.48
18-Apr-19, ONGC, EQ,160.85,162.2,159.05,160.5,160.6,9606055,15411.25
16-Apr-19, ONGC, EQ,156.5,161,155.85,160.85,160.45,8394765,13316.91
15-Apr-19, ONGC, EQ,158.3,158.3,156.1,156.45,156.45,3902646,6119.99
